Price,Close,High,Low,Open,Volume
Ticker,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS
Date,,,,,
2021-02-22,2284.815673828125,2343.15521464543,2278.0675697941683,2324.729668125036,2002642
2021-02-23,2270.6015625,2297.210969635151,2215.8514144605724,2273.2816887014515,3267268
2021-02-24,2260.216064453125,2306.1602771310468,2246.6719532135025,2271.3670142647557,1708526
2021-02-25,2272.0849609375,2284.049600015633,2236.1431384099164,2273.2814248453133,2839515
2021-02-26,2179.670166015625,2258.92398651673,2163.2068684439873,2237.914125836637,3933813
2021-03-01,2261.12548828125,2268.3998489196915,2201.4936780053617,2201.4936780053617,2545806
2021-03-02,2288.02197265625,2299.6517430975828,2257.9668900605225,2283.8105127954245,2033586
2021-03-03,2299.221435546875,2314.153168670533,2274.047781842537,2302.9543104066856,1591567
2021-03-04,2313.578857421875,2330.7121303271106,2249.3525693095316,2278.0677084922067,2149984
2021-03-05,2284.863525390625,2320.08723953421,2275.2918131376114,2296.2537694979587,1953642
2021-03-08,2280.65185546875,2310.1327762510095,2258.9720204643245,2280.9390535761986,1593838
2021-03-09,2318.938720703125,2339.3265148897367,2293.5257774972124,2297.210980251787,1800442
2021-03-10,2327.79248046875,2341.240782723724,2312.0949660779593,2341.240782723724,1056102
2021-03-12,2298.50341796875,2359.0921749238387,2294.3396292978905,2338.1781220180183,1279203
2021-03-15,2254.13818359375,2323.5810011245644,2242.700034452092,2299.651721043951,1524449
2021-03-16,2362.872802734375,2373.784460409285,2273.6165926806793,2277.3015614106157,4230564
2021-03-17,2319.1787109375,2354.641962846531,2307.836368522266,2354.641962846531,1623187
2021-03-18,2301.566162109375,2363.1123198518258,2287.639273768593,2363.1123198518258,1851739
2021-03-19,2307.97900390625,2329.7546482147486,2254.473228507687,2290.5106299005315,3738079
2021-03-22,2321.809814453125,2333.6788759148153,2287.6388540396933,2287.6388540396933,1489853
2021-03-23,2307.070068359375,2329.7070764959412,2295.488201968702,2325.9262965368052,1745466
2021-03-24,2338.89599609375,2364.2131304501518,2306.7828519776785,2307.0700501069214,4132092
2021-03-25,2299.31689453125,2363.255985343025,2289.553793819569,2345.978996307464,2272545
2021-03-26,2397.857421875,2406.280575465785,2305.9213118545613,2321.1402409918473,3084607
2021-03-30,2467.63525390625,2472.803884902047,2413.5071759188454,2430.3534824785247,2332884
2021-03-31,2428.726318359375,2472.325517007265,2422.6005156260976,2467.6354711975114,1616044
2021-04-01,2442.46142578125,2454.7132629560565,2423.557296003968,2423.557296003968,1219588
2021-04-05,2403.122314453125,2448.4444743301533,2378.092375478212,2448.4444743301533,1268939
2021-04-06,2499.748291015625,2507.7884352732895,2397.2351664663947,2417.8143463741717,3372846
2021-04-07,2516.0205078125,2553.7808678874844,2488.7411264655266,2493.431172240898,1937977
2021-04-08,2537.12548828125,2544.5435643224478,2515.4456562926507,2517.359998496831,897483
2021-04-09,2518.1259765625,2541.2894722848705,2498.3602515674406,2522.1460487648337,1185017
2021-04-12,2490.7509765625,2498.2169590390345,2445.5725403619667,2467.778866594325,1427691
2021-04-13,2460.60009765625,2513.5317147766573,2454.4742951000853,2488.6452621551066,1200230
2021-04-15,2476.8720703125,2482.4716157647476,2428.3435332357976,2479.0736109896397,1209829
2021-04-16,2549.616943359375,2578.1406925795895,2471.128902968981,2476.776353402821,2760777
2021-04-19,2461.748291015625,2536.503448383227,2456.914763844491,2536.503448383227,1552036
2021-04-20,2444.280029296875,2493.14366355257,2420.4944662784487,2488.6450058557803,1489287
2021-04-22,2403.696533203125,2447.487122110658,2381.4422994960178,2446.194847324869,1690758
2021-04-23,2410.109619140625,2455.1445791122974,2389.2911417154037,2418.8678774405066,1614593
2021-04-26,2448.348388671875,2464.7161114683963,2421.6434027242885,2421.6434027242885,1103980
2021-04-27,2464.09375,2469.4058631646544,2425.4717989541123,2436.0006820592803,866331
2021-04-28,2502.572265625,2508.0280952904313,2464.7160940264707,2477.1593209089347,1065561
2021-04-29,2501.51904296875,2528.8463276520547,2459.9300007819,2517.3602731736955,1295346
2021-04-30,2427.768798828125,2494.1966165051313,2415.947875397389,2483.8591214017315,1384907
2021-05-03,2471.56005859375,2483.9556152794057,2398.2887742322,2402.5002349551637,1034774
2021-05-04,2476.345703125,2505.8266267090844,2461.4139706468,2493.431304771573,1058140
