Price,Close,High,Low,Open,Volume
Ticker,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS,BOSCHLTD.NS
Date,,,,,
2021-02-22,13896.3974609375,14558.469788732056,13792.514138392868,14558.469788732056,82348
2021-02-23,13723.2587890625,14054.085893067908,13639.063459265613,13907.010414785702,56624
2021-02-24,13931.212890625,14479.441579177292,13746.81038950561,14147.171823581368,77159
2021-02-25,14064.37109375,14230.017353139774,13888.392680633573,14037.329867557257,86192
2021-02-26,13827.7939453125,13999.5834965556,13361.154403782897,13869.775250407292,59346
2021-03-01,14175.3291015625,14284.053063307516,13874.429449134936,13962.860901511172,53119
2021-03-02,14381.6533203125,14428.288909882485,14149.031705175083,14195.574572626316,39280
2021-03-03,14192.3642578125,14557.679440347254,14140.09715820989,14557.679440347254,39743
2021-03-04,14185.8486328125,14521.376386315955,14093.181954411766,14521.376386315955,76917
2021-03-05,13874.4306640625,14230.576370360443,13835.241927983496,14176.959343419783,48228
2021-03-08,13927.6767578125,14079.220182330566,13804.617210179324,13939.591552423155,39764
2021-03-09,13961.5107421875,14154.710009144485,13869.86765153374,14054.084690219073,31364
2021-03-10,13960.1611328125,14101.558735315357,13909.988464438256,14101.558735315357,21778
2021-03-12,13863.4462890625,14072.191071214878,13778.179201630823,13922.927534405382,28343
2021-03-15,13953.3662109375,13987.99428836862,13614.580475043316,13860.374101180554,28853
2021-03-16,13793.91015625,14021.318433541817,13684.53441353924,14003.81849651618,29407
2021-03-17,13612.71875,13956.577840324246,13534.666719911595,13793.910508185005,28295
2021-03-18,13235.443359375,13818.625567022842,13174.100397243048,13818.625567022842,35767
2021-03-19,13523.078125,13580.837648643781,12869.150758683403,13234.931379771368,60778
2021-03-22,13357.6162109375,13543.974028519426,13297.064123978891,13523.076099842609,22321
2021-03-23,13330.90234375,13441.58165883681,13257.830033485548,13371.767349666952,40413
2021-03-24,13047.6884765625,13346.44734760928,13004.49723765689,13197.696513557134,25039
2021-03-25,12741.576171875,13031.957321451673,12650.352146097403,12985.460812219188,40457
2021-03-26,12803.619140625,12937.28991050754,12678.186095785479,12845.833163528074,31444
2021-03-30,13270.861328125,13378.142644145171,12814.136687386164,12929.60936676942,55183
2021-03-31,13114.29296875,13356.874065973767,13059.930527954,13255.31787787224,21985
2021-04-01,13198.533203125,13408.953318263166,13062.860748889592,13260.016147232873,56398
2021-04-05,13065.189453125,13198.534779994232,12859.795397545842,13198.534779994232,24374
2021-04-06,13150.3642578125,13346.356128040577,12939.850464759169,13046.01458375717,39009
2021-04-07,13557.751953125,13730.146928915128,13056.252518687506,13126.25317839759,53727
2021-04-08,13693.099609375,13821.185232436974,13553.377359005988,13567.24749879591,38710
2021-04-09,13488.775390625,13795.213825846828,13395.084230514016,13682.440089201877,28021
2021-04-12,12735.9453125,13385.730175841132,12678.743940197784,13111.127227171233,47149
2021-04-13,12927.701171875,13068.726067557598,12517.332142875342,12682.932037461376,58287
2021-04-15,12703.9697265625,12907.921138568321,12636.389839545101,12900.7533544203,43056
2021-04-16,12897.9130859375,12929.050446116105,12703.968411559617,12752.745700336181,27064
2021-04-19,12578.630859375,12675.440038012304,12430.903594396319,12613.165308522679,25052
2021-04-20,12489.126953125,12743.297375648317,12384.126423823094,12613.163697410511,23995
2021-04-22,12576.162109375,12636.38876285577,12383.520995377381,12490.244156169334,17030
2021-04-23,12602.552734375,12677.439483975846,12451.148416664153,12454.918207275889,20116
2021-04-26,12563.50390625,12785.3270544066,12540.09247780539,12668.969873350843,16995
2021-04-27,12624.1484375,12776.576341228678,12520.032397867006,12543.303833550774,35763
2021-04-28,12876.548828125,12938.637190865322,12622.471150283052,12622.471150283052,27858
2021-04-29,12633.1318359375,13001.053241688838,12579.328457334646,12938.825785002746,23377
