Price,Close,High,Low,Open,Volume
Ticker,COLPAL.NS,COLPAL.NS,COLPAL.NS,COLPAL.NS,COLPAL.NS
Date,,,,,
2021-02-22,1376.76513671875,1406.9998006504384,1368.2603295557449,1385.047411954529,464359
2021-02-23,1384.69091796875,1400.8546471784393,1375.0283377263258,1376.7648909118898,478816
2021-02-24,1384.4239501953125,1409.7604093295308,1365.232285219312,1388.1642691360746,338317
2021-02-25,1398.984619140625,1404.0607817832986,1374.2269387551964,1388.1642632851997,758926
2021-02-26,1408.1573486328125,1424.8109322206708,1385.4035425158954,1395.5559765210685,1417384
2021-03-01,1409.8492431640625,1416.8847075143296,1393.9527268615993,1404.4168345380879,265854
2021-03-02,1426.8145751953125,1429.797937502043,1410.2501362477187,1411.6304427451335,392377
2021-03-03,1439.8612060546875,1443.6015243235358,1428.4619648457442,1433.8053387790824,401834
2021-03-04,1442.88916015625,1456.0695271896147,1427.571530327188,1429.3526551310897,476559
2021-03-05,1455.090087890625,1469.205481748139,1439.7278847930918,1448.410869152567,980777
2021-03-08,1462.3035888671875,1477.5767571070435,1453.754210820687,1460.4334294056468,516286
2021-03-09,1456.7374267578125,1471.4762777696412,1438.2582571993685,1462.3034416850546,278713
2021-03-10,1467.2462158203125,1469.4280503499738,1447.1639889810347,1460.5224258023982,418778
2021-03-12,1444.4476318359375,1467.7804317914865,1441.108022857577,1465.8657009016472,539038
2021-03-15,1423.6531982421875,1447.2086417177688,1412.3430979172251,1447.1640701080375,375920
2021-03-16,1436.7889404296875,1442.5775964895117,1420.580746946675,1423.65314398624,345773
2021-03-17,1420.04638671875,1441.0190670209456,1415.994284119323,1441.0190670209456,206352
2021-03-18,1401.4781494140625,1426.2804017717733,1393.7302992223708,1420.937026822678,258831
2021-03-19,1406.064453125,1417.7753706740075,1374.4050243646411,1389.2773732735247,926972
2021-03-22,1405.3966064453125,1415.1037590710557,1389.5000881627532,1405.0849313243286,871920
2021-03-23,1398.005126953125,1415.0148498243616,1394.799014821375,1411.541634155798,593680
2021-03-24,1383.8004150390625,1404.4169571091966,1380.3717714136046,1393.7302079111557,485513
2021-03-25,1362.783203125,1393.2849673511273,1358.9983126735829,1385.7151864482928,682360
2021-03-26,1370.6201171875,1379.881879259489,1352.853331925431,1367.057867556356,469032
2021-03-30,1400.9820556640625,1409.1478033357344,1380.3648039251805,1389.5230460297942,509874
2021-03-31,1406.9822998046875,1419.2985489105183,1392.5006483377558,1398.545931857154,458760
2021-04-01,1410.2303466796875,1423.8098189849393,1403.3729830147297,1403.3729830147297,228430
2021-04-05,1404.3204345703125,1415.6892362362469,1383.658026620959,1412.5763880912093,190999
2021-04-06,1415.328369140625,1420.0203309510464,1400.4406230904588,1413.749365771668,389788
2021-04-07,1399.3128662109375,1421.1031363298368,1395.8842390151592,1416.5916978018056,627405
2021-04-08,1434.7275390625,1437.1637817500862,1402.8316933565452,1406.5762090511907,508957
2021-04-09,1444.697998046875,1459.134601498328,1434.727674731198,1434.727674731198,610142
2021-04-12,1406.8470458984375,1445.465006483224,1402.1551935548878,1434.63755325114,398803
2021-04-13,1389.207275390625,1433.689992788848,1384.3348997959456,1403.057369517807,590210
2021-04-15,1403.46337890625,1412.0802706210507,1381.8987906830046,1394.0345163639126,728377
2021-04-16,1417.3585205078125,1422.4564677139813,1403.5535856697531,1407.5235631808075,428648
2021-04-19,1385.9139404296875,1414.7871475219727,1383.1619188216864,1403.0574071407318,827310
2021-04-20,1373.1014404296875,1399.0422113231782,1363.3566893935517,1389.5230322078553,429114
2021-04-22,1367.4171142578125,1380.5002869115494,1354.7850854886872,1369.3118965446713,703811
2021-04-23,1366.153564453125,1379.5976710457776,1359.7473448436801,1368.3190766127677,440873
2021-04-26,1357.5369873046875,1375.0864388085813,1355.2361096394286,1375.0864388085813,315394
2021-04-27,1348.9652099609375,1366.0635170586531,1345.8522514488288,1360.830204574333,463541
2021-04-28,1344.949951171875,1359.7023322440161,1342.829597219555,1355.236052426522,474599
2021-04-29,1340.6190185546875,1355.957908423082,1336.287993828951,1353.2510455051302,553504
2021-04-30,1337.1002197265625,1347.1155915805343,1324.5583981515233,1336.288138734609,725194
2021-05-03,1347.16064453125,1364.1687450163486,1326.8591720349034,1333.5811710933453,673973
2021-05-04,1345.0400390625,1365.0257308039568,1339.8970439608727,1352.529069964544,553145
2021-05-05,1347.65673828125,1357.5819018882446,1340.2580240130474,1352.0779695528715,321141
2021-05-06,1356.2738037109375,1366.2440168973342,1344.498904948165,1352.8902247725023,283759
2021-05-07,1363.672607421875,1369.6728431572333,1350.7247998724495,1364.259116504438,344324
2021-05-10,1370.349365234375,1375.1765821220845,1358.6196258117927,1366.2439123794572,427845
2021-05-11,1379.23681640625,1385.9137667380514,1362.8152259875899,1369.4921763193913,244884
2021-05-12,1379.958740234375,1394.9366930471244,1375.9886525852942,1378.6955155084129,317372
2021-05-14,1413.839599609375,1434.6373741533291,1382.3498485045668,1385.0115530348178,1251953
2021-05-17,1440.5924072265625,1479.7517123752432,1408.1552110031548,1428.817619747145,3239980
2021-05-18,1426.4715576171875,1469.600949572632,1412.3958928838622,1469.600949572632,1025939
2021-05-19,1448.9837646484375,1466.2174368001663,1422.9076294362228,1425.3437620434304,935763
2021-05-20,1462.788818359375,1472.5335698640224,1441.7655804143676,1448.0815945007942,684475
2021-05-21,1473.4808349609375,1488.7745659909228,1462.6984318671816,1462.7435903049816,537668
2021-05-24,1473.1651611328125,1486.3386503589784,1463.104740863273,1474.4283860076903,316920
2021-05-25,1542.551025390625,1552.11525295421,1475.2403851955328,1479.7518236823691,2550735
2021-05-26,1515.076416015625,1552.6115623698483,1512.0086158019894,1549.2731419312854,741120
2021-05-27,1520.21923828125,1533.8889174268243,1502.3088514798014,1524.8660414419605,1103542
2021-05-28,1543.9495849609375,1554.4161000156873,1520.2193749306741,1520.2193749306741,774748
2021-05-31,1552.3408203125,1619.4710468276785,1537.5433902332345,1548.867034716362,413842
2021-06-01,1546.340576171875,1568.1758926453672,1541.738821169189,1552.340700765612,226744
2021-06-02,1549.7242431640625,1559.2433120676687,1534.881544796911,1545.754155358098,320396
2021-06-03,1546.8819580078125,1563.8900580588727,1539.3027197740873,1548.8218984697978,310067
2021-06-04,1530.8662109375,1552.8368909983676,1526.490138299333,1552.8368909983676,361378
2021-06-07,1543.4532470703125,1550.0399910363774,1523.1067264504804,1530.3700760180893,281761
2021-06-08,1532.625732421875,1558.2507229105197,1531.0467290836623,1545.2127108320044,567699
2021-06-09,1534.1148681640625,1547.4236135282265,1525.4077686600133,1533.438152298088,338196
2021-06-10,1537.182373046875,1552.7918832667087,1530.7309943372532,1534.1145730161595,476038
2021-06-11,1534.926513671875,1549.949623661972,1531.452728574126,1538.6258706609392,284256
2021-06-14,1524.911376953125,1542.9119725761636,1518.6404113299366,1534.9717967304507,246040
2021-06-15,1545.34814453125,1569.9354850690152,1525.2271943234866,1525.2271943234866,839591
2021-06-16,1545.6187744140625,1556.8522118173248,1534.7913224041567,1551.9799465268973,420285
2021-06-17,1547.378173828125,1562.7622224420895,1540.3403961867136,1545.5735985135268,588937
2021-06-18,1524.7305908203125,1559.1528828018795,1515.8430805018272,1554.6414450622908,855999
2021-06-21,1504.0684814453125,1521.572885365747,1496.0832570952884,1519.4525312372443,458370
2021-06-22,1524.2796630859375,1539.7087603136272,1507.7227062634965,1514.0387199941038,487533
2021-06-23,1521.5726318359375,1534.2498163363882,1518.459783755591,1533.3023703245299,191960
2021-06-24,1528.114501953125,1541.964596801752,1520.3096909352196,1529.152154887739,391957
2021-06-25,1513.0914306640625,1542.9120854963182,1510.0237403624956,1542.0097977270223,170928
2021-06-28,1505.8729248046875,1519.4523979526682,1501.8577888314824,1517.1966788345674,252333
2021-06-29,1506.4144287109375,1524.8661675691824,1502.3089757412358,1511.1514389948063,512449
2021-06-30,1521.076416015625,1524.8659797188632,1505.917940917623,1505.917940917623,483447
2021-07-01,1541.2877197265625,1567.6796334899798,1525.903781379049,1535.6935803533822,1193157
2021-07-02,1524.4603271484375,1553.8748860608766,1521.257161547235,1550.130369832829,277107
2021-07-05,1521.2119140625,1534.7913880965025,1519.0013532395426,1529.3776618598304,287710
2021-07-06,1518.189208984375,1538.2200613105288,1515.8432830747906,1531.9490959289526,166162
2021-07-07,1556.6268310546875,1560.9578564475162,1520.9864638120998,1525.768633094075,662369
2021-07-08,1570.3865966796875,1601.5606810351637,1558.2508710691422,1560.055446484393,1091778
2021-07-09,1555.5439453125,1574.8979718047615,1544.8969067342043,1567.9955592333856,294363
2021-07-12,1563.258544921875,1569.8903372602583,1550.130215281423,1565.5142640942868,151868
2021-07-13,1558.521484375,1587.755515792208,1555.63409784195,1569.8902866086403,458921
2021-07-14,1559.33349609375,1578.6424741222725,1553.1528476269252,1560.9576579451586,580483
2021-07-15,1579.770263671875,1582.161347902801,1561.4087325610476,1561.4087325610476,486018
2021-07-16,1575.033447265625,1590.733275873945,1571.8303918937772,1584.417261732642,209117
2021-07-19,1581.9810791015625,1586.853344600282,1563.4841811272208,1575.3943347902677,224045
2021-07-20,1583.018798828125,1611.9371670975604,1579.0036621442657,1585.3196767928428,710131
2021-07-22,1613.8768310546875,1619.6063356173615,1583.0185272654817,1583.0185272654817,532351
2021-07-23,1619.6514892578125,1634.8550141230596,1606.07201607611,1621.907208381515,578168
2021-07-26,1629.4864501953125,1645.2314368626392,1615.095005239165,1624.0276756206724,468781
2021-07-27,1621.4560546875,1633.140635620144,1613.3805141882774,1629.4863266049745,202503
2021-07-28,1617.215087890625,1629.3959699638294,1608.7787212239843,1622.1326211834703,181731
2021-07-29,1542.460693359375,1622.2679896519594,1535.6935361787985,1619.922063857866,1057455
2021-07-30,1537.8592529296875,1543.1376142036727,1506.8205325070214,1533.8891648275069,620960
2021-08-02,1513.9034423828125,1548.325741234215,1512.2342321145363,1538.4005762263034,662042
2021-08-03,1510.1588134765625,1534.926675845347,1505.106024605752,1517.6478451164944,800213
2021-08-04,1503.8880615234375,1520.0840820857964,1495.993043951318,1513.2267174230929,554376
2021-08-05,1492.6092529296875,1511.4219272430792,1485.2555870073465,1511.3768789488797,601272
2021-08-06,1482.6390380859375,1493.2860765254295,1479.7517616324496,1492.3837888658975,373401
2021-08-09,1489.586669921875,1500.504328212897,1480.6540003592086,1492.9702485332991,434183
2021-08-10,1492.6544189453125,1503.0757746272857,1487.06016974651,1497.7974142021274,888730
2021-08-11,1496.218505859375,1504.835397032902,1482.9549213705532,1497.7975092576887,337034
2021-08-12,1480.9248046875,1504.113553872551,1478.6690855005286,1493.2861017750881,802666
2021-08-13,1481.5565185546875,1492.3839717962564,1467.3906446206547,1477.9473674741646,269358
