Price,Close,High,Low,Open,Volume
Ticker,DALBHARAT.NS,DALBHARAT.NS,DALBHARAT.NS,DALBHARAT.NS,DALBHARAT.NS
Date,,,,,
2021-02-22,1394.5667724609375,1475.3601663646605,1362.3374846766083,1451.5427601837848,177453
2021-02-23,1416.6724853515625,1461.8131425737615,1399.7997675801357,1399.7997675801357,100953
2021-02-24,1417.89501953125,1440.7342956398845,1335.732227280593,1434.914478948976,54062
2021-02-25,1412.857666015625,1452.5208245055705,1400.6310597487432,1420.2425839610023,203741
2021-02-26,1404.7392578125,1539.5742465686822,1384.589834755287,1385.0299448165529,491571
2021-03-01,1436.968505859375,1468.1708278122226,1392.1702937462792,1406.5487344396909,266937
2021-03-02,1460.3458251953125,1476.9740094071815,1428.361071559721,1457.313650777944,346970
2021-03-03,1469.5892333984375,1505.3398806636621,1461.3730488684005,1481.8647948053595,168863
2021-03-04,1455.3084716796875,1475.9959134319352,1447.6301867987172,1465.9211420744389,175602
2021-03-05,1442.6905517578125,1481.8156909020001,1434.9144781130847,1459.367690078202,103893
2021-03-08,1417.406005859375,1462.2043395639823,1410.4613172895656,1450.1733110807345,73551
2021-03-09,1419.8023681640625,1447.092055799141,1409.4830654831035,1430.0237624818162,225157
2021-03-10,1438.1424560546875,1442.9841446211437,1421.1229953900456,1427.8721062709071,54717
2021-03-12,1442.34814453125,1471.9854834231667,1437.848777678467,1442.7394197794142,301052
2021-03-15,1440.1475830078125,1479.9085334474817,1413.5913683259364,1479.9085334474817,191747
2021-03-16,1489.83642578125,1535.661721422592,1438.729212440912,1440.147450983957,583491
2021-03-17,1524.5111083984375,1652.7926894441446,1495.167252394103,1613.9120802384011,1167113
2021-03-18,1538.10693359375,1554.2460524518085,1482.1090817983654,1528.2278604758753,386445
2021-03-19,1540.650146484375,1555.0287067947975,1487.537841608366,1529.792944225778,171871
2021-03-22,1549.2576904296875,1565.005534742949,1530.771038670447,1556.1045896441879,68910
2021-03-23,1528.81494140625,1572.7329376914222,1511.2575814900151,1557.376247637789,73099
2021-03-24,1526.2716064453125,1616.8462740196844,1515.51219385353,1543.388853750421,186845
2021-03-25,1483.625244140625,1558.4031145392594,1467.1926388256013,1547.3991697480674,58991
2021-03-26,1517.517578125,1545.4431975884454,1486.7554812243272,1525.8316712765834,102512
2021-03-30,1549.3555908203125,1570.7766294977298,1503.5302930905982,1539.5743055247297,124486
2021-03-31,1554.2462158203125,1565.0545837093891,1514.1429465637784,1565.005629523285,103169
2021-04-01,1526.222900390625,1564.9079333495833,1516.0992935044137,1563.0494651742276,192213
2021-04-05,1503.2857666015625,1549.3066424497692,1491.646013176032,1549.3066424497692,75321
2021-04-06,1528.22802734375,1541.530551368873,1471.0075087808827,1506.3179245609545,405541
2021-04-07,1515.1209716796875,1539.4274398242853,1507.3448982488694,1528.814770003455,177075
2021-04-08,1525.0487060546875,1537.6176303617199,1507.2956541904646,1530.2816683848034,194935
2021-04-09,1521.9678955078125,1560.0659515587063,1493.6021699488622,1540.5523363912628,112550
2021-04-12,1447.3857421875,1506.3179881525596,1407.4292142389997,1506.3179881525596,51296
2021-04-13,1507.39404296875,1523.9244410813699,1447.0923876427853,1448.6085348148324,95170
2021-04-15,1543.731201171875,1565.005494614288,1508.27404543452,1520.9897150782613,334169
2021-04-16,1525.8314208984375,1565.0055129034808,1504.4593382429384,1558.1586137845281,197968
2021-04-19,1470.6160888671875,1496.536492162818,1455.4550982603091,1496.536492162818,79579
2021-04-20,1415.6942138671875,1530.5265198570157,1396.7674518969923,1491.6459132653454,260999
2021-04-22,1446.60302734375,1467.0459358850326,1424.2039812975358,1432.958183188921,87264
2021-04-23,1393.246337890625,1461.519639402509,1374.368409015303,1418.8244234888966,171673
2021-04-26,1438.9735107421875,1445.2823906850101,1403.5163589230317,1403.61414787555,154949
2021-04-27,1496.3411865234375,1513.164950756145,1442.4462049095537,1447.6303342722006,356182
2021-04-28,1477.2677001953125,1514.8277436231676,1474.4799381123757,1498.9821077645704,88442
2021-04-29,1503.8726806640625,1510.1327274100083,1486.8043848290677,1496.5367163681403,92812
2021-04-30,1473.40380859375,1529.7929392167061,1448.4126976272503,1511.1595439551977,228082
2021-05-03,1512.6268310546875,1564.272065663087,1470.078239617236,1500.44917850691,239057
2021-05-04,1518.348876953125,1542.0684924320458,1507.4427205950985,1534.6835746980169,106907
2021-05-05,1504.8504638671875,1555.2240738048931,1497.367758122568,1525.8802233557442,103402
2021-05-06,1532.9229736328125,1550.3337091040682,1506.317925564836,1513.9473758051515,114935
2021-05-07,1596.2078857421875,1639.685648791353,1537.5690118967384,1547.9861040584824,385874
2021-05-10,1616.455078125,1651.569913914797,1593.5668481533462,1613.9119679949156,240288
2021-05-11,1684.6309814453125,1704.8781962568507,1597.1862583424065,1616.4553445272913,435044
2021-05-12,1663.552001953125,1705.4647831788366,1632.2029366050594,1684.6307183254403,218069
2021-05-14,1689.716796875,1701.943401772793,1628.5837723860348,1677.490191977207,112973
2021-05-17,1738.9656982421875,1787.0407370235964,1675.0450258089265,1709.7685869278853,372500
2021-05-18,1776.7706298828125,1796.8712206895675,1752.9532219777989,1782.834979538136,474794
2021-05-19,1755.593994140625,1812.5211470683637,1732.2656522353893,1799.756521803002,189566
2021-05-20,1774.9609375,1790.2197184872227,1753.148623807697,1790.2197184872227,355141
2021-05-21,1790.9041748046875,1829.1001371945142,1772.124156985113,1792.0290463627296,158642
2021-05-24,1837.4144287109375,1848.6629067147574,1760.9736608309745,1808.3640593656016,58556
2021-05-25,1818.5364990234375,1869.203604186476,1809.537764387745,1837.4144272445292,205138
2021-05-26,1805.282958984375,1839.7130357416636,1785.084580806392,1819.3190796163778,32038
2021-05-27,1781.220947265625,1817.754022749379,1750.8500096728512,1817.754022749379,252773
2021-05-28,1737.254150390625,1788.9971762519801,1728.3532041756418,1785.0846619244744,71606
2021-05-31,1726.39697265625,1770.6572916436128,1712.507594347473,1741.0199474123315,53111
2021-06-01,1775.5966796875,1789.9751206010003,1729.2333657984007,1739.5037148510291,167319
2021-06-02,1745.861572265625,1776.2813445392633,1739.6993149952038,1776.2813445392633,71879
2021-06-03,1748.9915771484375,1787.5788187795242,1743.3673381763922,1745.9594026262082,78073
2021-06-04,1751.877197265625,1775.6456495264038,1736.7650394413467,1759.0664182691853,144927
2021-06-07,1730.11376953125,1780.0961128959025,1708.7415659033013,1769.9235524337114,257559
2021-06-08,1751.4368896484375,1769.4344781487252,1731.5319983099948,1749.8719079093805,167200
2021-06-09,1717.7890625,1789.9749867760634,1712.8984204596281,1760.6311345338327,33825
2021-06-10,1754.5670166015625,1760.484622607342,1714.561535577078,1719.5499672333294,42511
2021-06-11,1747.4266357421875,1775.2543449295927,1739.503818452667,1759.6532424854158,26548
2021-06-14,1759.7999267578125,1780.1938822429781,1733.5860350173505,1747.4265772676267,82531
2021-06-15,1818.3408203125,1842.5984540564068,1752.7084240511324,1756.7187268860946,266439
2021-06-16,1801.174560546875,1858.4440282296016,1781.3674597196912,1835.9470742036642,231576
2021-06-17,1765.6197509765625,1809.4887908061394,1760.6313194515403,1783.1282752000877,100506
2021-06-18,1750.654296875,1797.848993220843,1690.2059126552767,1779.7536174198463,140222
2021-06-21,1777.2593994140625,1780.1937847735794,1711.7247930515186,1721.5060775832417,130787
2021-06-22,1808.608642578125,1811.3473308770028,1780.193960449233,1780.193960449233,211546
2021-06-23,1784.693115234375,1835.947069011207,1747.0841247401675,1823.13361041711,105284
2021-06-24,1761.658203125,1783.1280737514642,1731.2872685354316,1782.1988995313527,67111
2021-06-25,1792.4693603515625,1831.5455446385452,1770.5592589281334,1775.0096717888562,176681
2021-06-28,1824.7476806640625,1858.4441599085392,1806.3588170058392,1809.537734647788,102653
2021-06-29,1833.15966796875,1846.7067246695228,1813.6459315206582,1838.8816961751606,68307
2021-06-30,1849.787841796875,1901.4819120800712,1820.3461961535047,1842.7452445563033,224084
2021-07-01,1848.907470703125,1878.8381801141409,1836.0450565361689,1851.5973241851689,119730
2021-07-02,1895.2706298828125,1907.2527034892603,1844.9458490954644,1850.6190419101242,106923
2021-07-05,1926.4730224609375,1936.6944174595715,1863.3837346194514,1910.2849481305773,202401
2021-07-06,1958.26220703125,2005.1634207465809,1891.7005149872623,1926.4730308486824,560805
2021-07-07,2000.1258544921875,2019.73725746442,1958.262030201536,1963.9840575176129,251076
2021-07-08,2014.798095703125,2028.6385185227325,1990.4915068436649,2005.065526041716,162147
2021-07-09,2073.436767578125,2078.522987835237,1999.0990042484882,2013.575353288649,256450
2021-07-12,2121.169189453125,2127.429115237387,2064.5354159324957,2092.216495398975,441101
2021-07-13,2148.41015625,2150.9044315228575,2078.5718814153156,2121.1694225783217,195788
2021-07-14,2132.66259765625,2161.664012530241,2102.976301782814,2148.4592776120703,130550
2021-07-15,2221.867919921875,2247.7393718947724,2135.3035446334993,2144.4001877629685,394828
2021-07-16,2202.6474609375,2259.476821980398,2189.980744695669,2245.7830230593045,190674
2021-07-19,2178.4873046875,2232.431223779565,2157.0174362361827,2195.50688040901,172121
2021-07-20,2135.40087890625,2200.7888566794995,2080.479065847687,2196.3383247869283,254141
2021-07-22,2173.597412109375,2222.308266053301,2156.724693099947,2157.360619995358,194935
2021-07-23,2241.33251953125,2249.695566026006,2186.606277326581,2186.606277326581,201366
2021-07-26,2178.2431640625,2323.055132840371,2146.9920069829955,2257.765057001594,249209
2021-07-27,2201.03369140625,2249.6955850391623,2181.226588972753,2189.0516170946285,168470
2021-07-28,2100.922119140625,2188.317996531632,2069.1818969321157,2188.317996531632,524627
2021-07-29,2088.6953125,2154.3767785531086,2075.148377293556,2127.429293080578,227804
2021-07-30,2092.314697265625,2121.7562208134423,2084.4896695371585,2103.9543304913605,167345
2021-08-02,2114.176025390625,2134.129992211989,2019.8355692042028,2109.432244937216,800584
2021-08-03,2078.0830078125,2146.698628395626,2028.7851868182563,2146.698628395626,337936
2021-08-04,1991.5673828125,2088.3043137806,1975.8195380968673,2088.3043137806,324859
2021-08-05,1896.9825439453125,1996.2625923038875,1880.060872179185,1993.4259956135506,403689
2021-08-06,1897.86279296875,1926.8153729427922,1848.0760280016543,1897.5693066559934,271277
2021-08-09,1883.2398681640625,1950.2906311706324,1856.4880749473116,1916.398451443899,526998
2021-08-10,1875.708251953125,1910.6273936916546,1853.5536162482194,1883.2397940848207,200049
