Price,Close,High,Low,Open,Volume
Ticker,DBL.NS,DBL.NS,DBL.NS,DBL.NS,DBL.NS
Date,,,,,
2021-02-22,618.8384399414062,625.245881009849,581.1389040400384,591.0729023996971,927834
2021-02-23,625.9412841796875,639.4515598777338,620.8749686881209,626.7360526454652,505641
2021-02-24,639.74951171875,650.6769102108404,625.5439058054956,630.8089129524942,334863
2021-02-25,662.6970825195312,669.5515664287781,643.9715177113582,645.51127550769,359326
2021-02-26,674.9655151367188,693.3930695432465,640.7428794489886,655.6438766454767,724459
2021-03-01,693.2440795898438,702.631720549601,680.4789154292437,680.4789154292437,399169
2021-03-02,668.1607666015625,706.1086559368305,655.6439517751468,698.2608328934591,532811
2021-03-03,651.1239624023438,682.962416377554,648.1934206346966,670.544917897962,317676
2021-03-04,698.8567504882812,715.1485312557869,607.0665858727168,646.7032616458722,1955251
2021-03-05,665.0315551757812,708.8901230620236,649.1371572539214,694.734174912867,919008
2021-03-08,656.1903076171875,696.6713545168224,651.1736501278684,672.0350485301343,402889
2021-03-09,642.6801147460938,666.5713716017797,636.9680649894466,662.2003875350688,209282
2021-03-10,641.388671875,653.7067942976128,635.8255960366396,647.9947448531352,153682
2021-03-12,649.2861328125,669.5018566097011,637.7627185373376,637.8123764045299,268031
2021-03-15,638.4085083007812,652.2663892315808,628.623482319161,650.6769735491223,241914
2021-03-16,634.2362060546875,653.6571628236682,627.9280800340636,638.2594636994024,134111
2021-03-17,616.0072021484375,647.547646332026,608.9540877020405,637.8123402537905,199949
2021-03-18,609.3515014648438,653.6571111924383,597.5796766848001,620.4278735805844,492010
2021-03-19,598.5233764648438,613.0269892183701,576.2215389414756,612.9276734917985,292536
2021-03-22,599.6161499023438,610.5932672027899,589.5828352570464,600.0135341116361,255533
2021-03-23,588.6389770507812,612.3315961520906,583.1256208708822,601.255165301706,209210
2021-03-24,573.2413940429688,592.7120682542991,566.2379369492702,586.3046268413043,395375
2021-03-25,548.704345703125,577.5129394004645,535.2934486371222,576.8672659211176,492957
2021-03-26,556.3038940429688,565.1948344760109,547.6116456985474,558.4893857531715,312435
2021-03-30,580.2945556640625,587.0993204895685,560.2775241220247,560.2775241220247,407892
2021-03-31,576.171875,591.0728717672414,568.3737109447349,583.1256734913793,257432
2021-04-01,591.0729370117188,599.9638781907115,576.1719385996586,579.052822545584,168401
2021-04-05,570.1122436523438,590.7749500543828,564.2511598168117,590.7749500543828,169550
2021-04-06,564.99609375,580.8904893543956,561.4695368517363,575.7247986565055,180697
2021-04-07,568.1254272460938,580.1455417870418,565.04585117571,565.04585117571,217674
2021-04-08,571.1552124023438,581.0892101460759,568.2246709414807,571.1055545400872,177823
