Price,Close,High,Low,Open,Volume
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,
2021-02-22,1993.3369140625,2027.7300689644298,1987.8192812217806,2027.7300689644298,2678023
2021-02-23,2004.0501708984375,2016.097092062505,1995.7276966983031,2009.3379022200693,2062144
2021-02-24,2003.6826171875,2012.5567208280063,1982.255763239744,2012.5567208280063,924143
2021-02-25,1989.382568359375,2009.3379622581376,1986.3478253901956,2001.9811184603961,2099460
2021-02-26,1960.6446533203125,2006.9466485033672,1949.5633638261481,1984.5083675173717,3413194
2021-03-01,1971.0821533203125,1980.8300605077861,1956.9203197588527,1963.5414338328724,1229276
2021-03-02,2002.854736328125,2008.32634410272,1968.4615807337623,1988.1870736338544,2095135
2021-03-03,2017.15478515625,2027.7302490401328,1998.7626740538453,2027.7302490401328,2031893
2021-03-04,2020.28125,2026.3507361558625,1999.2223736795302,2009.3380342639252,2290915
2021-03-05,2024.1434326171875,2032.2818052847235,2000.371544433126,2008.969944290261,2129837
2021-03-08,1999.7281494140625,2037.9378021631023,1994.6242940770906,2032.3281189075012,1440724
2021-03-09,2021.75244140625,2027.7298764160932,1988.2328699844275,2001.0613202183306,1711842
2021-03-10,2048.743408203125,2057.0656592013165,2016.87893972842,2032.788161374661,2696085
2021-03-12,2027.5,2059.8240399147085,2023.1318743621725,2056.237668669917,2038930
2021-03-15,2033.1097412109375,2039.1790023007813,2007.7745668801779,2028.7416154474631,1632022
2021-03-16,2063.640625,2066.813218853807,2036.2823632598884,2042.7656264908264,2633605
2021-03-17,2047.3175048828125,2080.147372086074,2040.834242043333,2072.79052903714,3703365
2021-03-18,2037.110107421875,2069.0203741325063,2027.730176000134,2058.0771582259863,2597091
2021-03-19,2126.17431640625,2138.313066245892,2015.3158089142555,2026.9029300643829,5382214
2021-03-22,2164.01513671875,2167.049879096854,2116.9313904862966,2124.3802831859143,2471516
2021-03-23,2149.393798828125,2182.1776423337556,2145.807202972689,2173.027613282846,1970612
2021-03-24,2132.197509765625,2161.9005893049643,2129.3926679463884,2149.394088581314,1762743
2021-03-25,2057.20361328125,2135.324058816384,2051.6859800543343,2132.1974897930268,2495833
2021-03-26,2131.552978515625,2138.082265777611,2068.0083886792427,2073.7098964853817,1929236
2021-03-30,2205.9033203125,2212.570459060709,2138.0824261496873,2138.0824261496873,3327203
2021-03-31,2236.0205078125,2242.5497958926344,2190.1780892742186,2194.17846252956,2709756
2021-04-01,2206.2255859375,2250.09072221346,2199.7423224330246,2250.09072221346,1532653
2021-04-05,2182.4072265625,2222.869859271275,2157.8538102531866,2207.052693205901,2545447
2021-04-06,2214.686279296875,2217.1691695903965,2186.224530006701,2190.7765329636727,3683538
2021-04-07,2211.880859375,2239.2391196666144,2195.420012735847,2222.686222683453,1713970
2021-04-08,2216.156982421875,2242.917589593707,2203.006804700945,2212.5706111367194,1814515
2021-04-09,2276.94287109375,2283.3801086129974,2229.1233923793416,2229.1233923793416,2604858
2021-04-12,2264.068359375,2288.2079996810903,2241.630078762358,2245.216449802625,2261945
2021-04-13,2257.079345703125,2304.4390225808465,2251.9296903038517,2271.425279378094,1811781
2021-04-15,2262.8271484375,2296.2548976457765,2226.456931090842,2296.2548976457765,3352379
2021-04-16,2261.2177734375,2279.655907793938,2243.8373200667934,2271.3334334869814,1225517
2021-04-19,2240.756103515625,2261.9530500069013,2219.9731590085025,2243.836870992067,1746316
