Price,Close,High,Low,Open,Volume
Ticker,JKCEMENT.NS,JKCEMENT.NS,JKCEMENT.NS,JKCEMENT.NS,JKCEMENT.NS
Date,,,,,
2021-02-22,2646.0771484375,2668.8633359129058,2567.4014476562706,2590.383176562593,113588
2021-02-23,2598.793212890625,2672.774959884888,2595.22380603158,2646.321476823912,35269
2021-02-24,2571.019775390625,2621.2373929419596,2546.962210707947,2620.8460713275126,21548
2021-02-25,2563.734130859375,2629.989965816013,2524.0783767244693,2586.666914543286,70717
2021-02-26,2628.81640625,2649.2553795673166,2515.374684570484,2552.438737789109,59998
2021-03-01,2601.971435546875,2720.2052277600733,2563.7338974581157,2628.8162391568467,179578
2021-03-02,2572.9755859375,2624.9533134652197,2564.1740731007694,2624.9533134652197,50478
2021-03-03,2635.857421875,2669.792094148261,2581.7769701653515,2581.7769701653515,167699
2021-03-04,2715.462158203125,2751.8416955930393,2608.4749791238028,2615.907224232194,151355
2021-03-05,2674.92626953125,2750.4725831483925,2649.304137130159,2715.462075494301,54742
2021-03-08,2682.456298828125,2715.755400007637,2640.6491172111546,2689.3508642495503,90714
2021-03-09,2814.283447265625,2835.9448506274757,2668.8140135827957,2679.57141708203,219676
2021-03-10,2834.429443359375,2958.286189475727,2801.9127439213357,2826.2635000280497,172330
2021-03-12,2860.247314453125,2887.531909974867,2812.621396151269,2862.9366657189585,113785
2021-03-15,2888.069580078125,2924.0580344066993,2776.045837396667,2872.2269053687214,61955
2021-03-16,2786.265380859375,2894.719470940403,2778.343924642461,2894.719470940403,48878
2021-03-17,2798.929931640625,2845.8223867920015,2703.4333773661397,2787.1456365488675,59961
2021-03-18,2711.061279296875,2835.9449092975983,2699.130388374883,2816.385993439809,54856
2021-03-19,2684.021240234375,2732.380613141616,2577.1317146676606,2704.0201844440116,119049
2021-03-22,2734.678955078125,2811.594300169812,2699.1305281630193,2711.6972277549976,27995
2021-03-23,2804.259765625,2815.9951159955317,2719.716393415223,2746.0719867044463,18066
2021-03-24,2701.868896484375,2824.3076716161963,2694.240870949661,2806.7046459620788,18905
2021-03-25,2716.29345703125,2864.012220727045,2644.02311776091,2704.6070522466803,17505
2021-03-26,2744.409423828125,2791.888741510802,2719.520750266214,2719.520750266214,6722
2021-03-30,2839.07470703125,2884.9402721262577,2750.9616899970047,2750.9616899970047,31695
2021-03-31,2833.353515625,2883.8156152370216,2801.8147630565622,2865.283351017347,21262
2021-04-01,2855.2109375,2904.4993152255406,2806.704725487307,2806.704725487307,29478
2021-04-05,2748.565673828125,2918.4348151144372,2738.1993526272827,2858.5356336029154,62420
2021-04-06,2795.11572265625,2879.072465986537,2758.785131300279,2821.3247181277684,18510
2021-04-07,2849.587646484375,2855.8953495452106,2778.2952498659392,2801.8148956064992,12514
2021-04-08,2948.604736328125,3080.333999418693,2882.5444439787484,2899.6095519378778,90084
2021-04-09,2924.74267578125,2972.9554550903936,2894.6218951297287,2972.9554550903936,20554
2021-04-12,2753.7001953125,2922.982492410591,2743.6762495377634,2922.982492410591,24680
2021-04-13,2775.263671875,2857.117690174579,2738.248326670873,2740.204218332781,31512
2021-04-15,2819.02685546875,2836.09196311935,2743.138160586019,2789.1016163961945,12432
2021-04-16,2816.728515625,2879.65942615416,2806.802460816407,2825.285541755273,14455
2021-04-19,2837.461181640625,2855.6021264623973,2664.9026693869973,2752.330940359033,25595
2021-04-20,2795.947265625,2902.152283494395,2768.5647810368573,2864.3545320501858,43196
2021-04-22,2795.751708984375,2835.79854472531,2744.116119147933,2800.8369797718037,22807
2021-04-23,2742.60009765625,2808.5624952357093,2694.7786427262704,2795.751548291827,65020
2021-04-26,2722.3076171875,2777.3660122951737,2689.350892187228,2757.0246923411896,131675
2021-04-27,2731.109130859375,2762.158909360785,2696.343110644333,2710.8657009734943,34547
2021-04-28,2727.539794921875,2770.5204652961947,2708.9098795871723,2738.9327680464994,118508
2021-04-29,2730.71826171875,2775.997202607102,2723.5792092180113,2757.807314181254,8324
2021-04-30,2744.5068359375,2757.806993536502,2691.600114528035,2691.600114528035,12683
2021-05-03,2722.845947265625,2755.8516223020674,2666.2716798858132,2755.8516223020674,140057
2021-05-04,2727.05078125,2767.5865865060464,2694.240652234685,2743.137941748926,63664
2021-05-05,2713.9462890625,2736.4390432721807,2708.909963513725,2713.799692689742,15632
2021-05-06,2717.075927734375,2728.468901300004,2688.3731217468494,2713.995255075896,60978
2021-05-07,2718.24951171875,2753.797701114208,2710.8659725919206,2726.513106632855,107682
2021-05-10,2736.830322265625,2748.0277541531736,2718.6893795536735,2732.576162446176,24366
2021-05-11,2715.462158203125,2730.913750181015,2694.338671374937,2723.579156402552,98407
2021-05-12,2715.022216796875,2746.071998114588,2699.1795414820926,2746.071998114588,16170
2021-05-14,2699.179443359375,2753.0154092020575,2689.9379029914007,2729.3489290451066,95213
2021-05-17,2693.4091796875,2738.2480876248715,2684.461071617954,2689.350800345856,87706
2021-05-18,2745.92529296875,2785.1897225221487,2685.8303307386395,2707.540919159412,47850
2021-05-19,2783.42919921875,2850.7119158588903,2758.3449857532455,2787.0964958515015,69240
2021-05-20,2838.781494140625,2860.4429009935857,2772.5256573647953,2777.3664419683682,26938
2021-05-21,2851.9345703125,2909.38888870285,2837.9988420220743,2884.891297535788,109207
2021-05-24,2862.740966796875,2894.71974870188,2833.451536009752,2894.71974870188,25785
2021-05-25,2804.650634765625,2873.2047301258085,2774.187718919124,2860.9804077546128,25619
2021-05-26,2806.264404296875,2873.1558011843545,2777.4150033392,2819.4177274907247,20088
2021-05-27,2743.48046875,2857.8511874454534,2706.954095976978,2821.373759715889,65415
2021-05-28,2746.267333984375,2772.5742191257286,2724.605930125935,2748.0276841667733,20284
2021-05-31,2786.60791015625,2804.602258054975,2759.6654527328196,2791.057611773517,24642
2021-06-01,2782.9404296875,2801.2279691478575,2767.586727747723,2795.947157113336,13963
2021-06-02,2783.42919921875,2805.628520417748,2760.5453637328965,2782.940226334383,46769
2021-06-03,2781.082763671875,2809.3453063612333,2757.905492213874,2797.36546837332,34546
2021-06-04,2775.850341796875,2808.6604727165354,2768.1246651077345,2795.7516352867883,130171
2021-06-07,2807.92724609375,2836.0431915269914,2771.547705319221,2777.366435840226,77165
2021-06-08,2816.875244140625,2835.749647556072,2802.695028745254,2835.749647556072,42939
2021-06-09,2800.15234375,2850.7120954270677,2780.9845099729077,2850.7120954270677,102409
2021-06-10,2796.826904296875,2850.7118096490144,2775.996851203951,2836.0426236645426,77812
2021-06-11,2787.634765625,2820.249356631333,2772.4766042963956,2816.4841694439574,103914
2021-06-14,2751.303955078125,2767.2442808630603,2641.431647222602,2738.248282940868,82646
2021-06-15,2728.224365234375,2767.635629732278,2697.56566811877,2766.6087388647898,217222
2021-06-16,2707.687744140625,2752.282173235142,2704.0204469702317,2704.0204469702317,61603
2021-06-17,2746.60986328125,2777.3662124958305,2704.0202737855534,2704.0202737855534,106818
2021-06-18,2762.2080078125,2801.8148140849044,2746.0719015533723,2746.6098195132713,173965
2021-06-21,2750.472900390625,2793.013547916667,2738.786494396231,2762.208251432292,42790
2021-06-22,2748.663330078125,2781.669001582349,2743.1869767267626,2781.2779187559318,67136
2021-06-23,2755.94921875,2796.925053223018,2748.1256521675577,2757.807220310808,55002
2021-06-24,2786.118896484375,2794.9693545430623,2757.807410710789,2757.807410710789,43916
2021-06-25,2791.937744140625,2800.7392575235062,2753.7002014754603,2787.145904579144,64398
2021-06-28,2804.40625,2833.158000513307,2754.482306630938,2791.937440729288,39774
2021-06-29,2790.373046875,2818.4400460780876,2768.955888697853,2818.4400460780876,19785
2021-06-30,2788.6123046875,2821.373487295612,2782.2556573157767,2791.0571690612396,31204
2021-07-01,2790.86181640625,2811.5942199464203,2743.7735821297138,2802.5971661938524,33807
2021-07-02,2802.01025390625,2845.8222734271094,2770.373850580865,2810.616224683681,114553
2021-07-05,2785.727783203125,2826.263592162988,2762.6971099863117,2826.263592162988,114339
2021-07-06,2952.614013671875,3045.3233264678215,2792.0353555124057,2816.484001357523,392484
2021-07-07,2977.405029296875,3039.064561729436,2933.837494748597,2974.911219675077,134418
2021-07-08,2973.004150390625,3031.5830077829924,2958.2860184813017,2993.1009841517325,62864
2021-07-09,3005.1787109375,3011.095331197286,2945.572957962399,2982.7349009911413,65347
2021-07-12,3167.322021484375,3216.463798892199,3017.0117968459335,3031.632039089637,239742
2021-07-13,3149.52392578125,3216.4153342942554,3120.72346485916,3167.3224945955208,94583
2021-07-14,3147.6650390625,3167.5663308704234,3114.2193416715018,3158.569277589261,40479
2021-07-15,3148.349853515625,3186.53844535508,3127.4706155360295,3147.029531205423,31270
2021-07-16,3088.890869140625,3177.346022286822,3061.410495636791,3124.53694712416,31298
2021-07-19,3116.126708984375,3148.985786608031,3070.7501148910615,3088.8910590216983,39839
2021-07-20,3090.748779296875,3166.588524413252,3051.190919138155,3139.2060418056017,98639
2021-07-22,3076.61767578125,3166.58869490772,3062.339570721698,3090.3089178222344,40407
2021-07-23,3009.530517578125,3126.9329667397774,2992.5143549836853,3092.020347016231,31602
2021-07-26,3045.127685546875,3075.5906017719335,3010.5572059490137,3031.631985730107,25678
2021-07-27,2965.669677734375,3103.560039913933,2924.058034871481,3060.9704512199783,72922
