Price,Close,High,Low,Open,Volume
Ticker,KPITTECH.NS,KPITTECH.NS,KPITTECH.NS,KPITTECH.NS,KPITTECH.NS
Date,,,,,
2021-02-22,128.32733154296875,132.07588268203514,126.81816803075375,132.07588268203514,692091
2021-02-23,133.73110961914062,137.91780137996284,127.06158740280647,129.0088914243054,929491
2021-02-24,138.35597229003906,141.08218634251577,132.46537398862952,133.73112471685218,1144061
2021-02-25,142.8347625732422,146.04781753025833,135.7270991487525,139.67039319341993,1226980
2021-02-26,140.79010009765625,144.00314015355028,137.7230870578228,138.40464055886844,796540
2021-03-01,138.74539184570312,143.46760937051945,138.16119477944284,143.12682527240952,365330
2021-03-02,137.9664764404297,140.7413904023502,137.3822941925382,138.74540096103453,370431
2021-03-03,137.67440795898438,139.23225734045985,136.40867205038242,138.9401587243391,741315
2021-03-04,136.60337829589844,138.98882271973824,136.31127972513733,137.67438657968853,863274
2021-03-05,134.3639678955078,138.06384824369056,131.63773948859688,136.6520559001964,591713
2021-03-08,141.374267578125,144.58732215287225,135.0942151428352,135.33762814309256,2451558
2021-03-09,157.43951416015625,165.13137332367342,142.3965948081804,143.12683375591467,5176733
2021-03-10,155.4435272216797,169.4154385881744,150.9160516159025,165.95897120884734,12204967
2021-03-12,152.9607391357422,156.6119342310567,150.96474951228674,155.58959663301846,2819710
2021-03-15,148.48191833496094,154.5185572893603,147.60563754650352,153.35017795250064,1324351
2021-03-16,157.0987548828125,162.0156855579797,149.3582096594891,149.65030822849664,3063018
2021-03-17,153.05809020996094,164.44981554790692,149.94240680611892,158.70527473634667,2274355
2021-03-18,150.42922973632812,159.14341191798871,146.2425232836434,155.0053910352742,1707129
2021-03-19,153.2041473388672,154.56725418901505,141.42295225798068,148.0437887945925,1045666
2021-03-22,157.6829376220703,159.19210118570072,149.79636537646198,151.2081577978903,726098
2021-03-23,161.9183349609375,164.06036644765763,157.87767013734523,158.70528030248187,1639879
2021-03-24,167.41946411132812,180.1256261139604,161.91833606730486,162.50251837308335,5967360
2021-03-25,166.00767517089844,171.849587493628,163.67091618450712,168.63653274477647,1932407
2021-03-26,171.80088806152344,177.59411434291127,167.56551088323573,171.16802022031095,2148266
2021-03-30,174.4784393310547,178.85987342905034,170.63251681638644,177.20466796337993,1341940
2021-03-31,172.87193298339844,176.0363023021208,170.77857205850015,174.72186602702763,774556
2021-04-01,171.0706787109375,175.7442119729823,168.68523392974618,172.82325554129838,774661
2021-04-05,171.1193389892578,174.67316284633452,168.4417959894259,170.8759259892731,663451
2021-04-06,168.29574584960938,172.72585034590722,167.02999534063153,172.67717963370595,448642
2021-04-07,193.56204223632812,201.9354414594942,166.00768458087876,169.02601206141378,6940400
2021-04-08,189.0832061767578,199.30655167652677,186.98986042188596,194.73039047178966,2329944
2021-04-09,188.9858856201172,190.54372012432358,181.4887522843488,190.30030709022077,1082181
2021-04-12,182.1702880859375,187.91482872071003,175.30603878048905,184.9938728338596,1186123
2021-04-13,182.99789428710938,189.57004542568134,181.09927581842763,182.07292783895682,498923
2021-04-15,181.87820434570312,188.6450830636021,179.15197565782086,183.63078099196682,645603
2021-04-16,186.5030517578125,195.26592014245443,183.0465840347424,183.33868261891405,1837470
2021-04-19,187.0872344970703,193.70807137417356,180.1256283182805,184.75047553185794,1883975
2021-04-20,187.81747436523438,192.73442018549633,186.94119346357436,190.54370307459507,503342
2021-04-22,188.8397979736328,191.12788606235353,185.43201605402754,187.8174604264012,428426
2021-04-23,190.9331817626953,195.21724503778125,188.88850642059634,188.88850642059634,1259231
2021-04-26,193.12387084960938,197.65134648904774,191.41997993160032,197.65134648904774,609780
2021-04-27,192.73440551757812,194.97380803186593,191.80943911249733,194.6817094679588,427357
2021-04-28,188.9858856201172,194.7304272822423,188.3043172392273,194.63305612590014,832028
2021-04-29,190.543701171875,203.49327626946382,189.86214771552844,199.5986681111966,2370175
2021-04-30,192.0528564453125,197.6513554291429,189.57004088113328,191.2252463050026,2137098
2021-05-03,197.1158447265625,199.598660301665,190.10555328731752,190.10555328731752,1209199
2021-05-04,199.0144805908203,209.7733391208566,197.26191872005572,199.98813267757922,2039362
2021-05-05,197.01846313476562,203.9313825432451,196.28822422745625,203.4932421702092,611290
2021-05-06,198.7710723876953,204.80772735734126,196.7264118699865,200.57233473456583,1894171
2021-05-07,197.1158447265625,200.08548630240077,195.99615086757044,200.0368007309771,689464
2021-05-10,197.94345092773438,203.4932642542269,195.5580065429942,197.7487235026689,886723
2021-05-11,203.00645446777344,207.67998732615158,195.80143516797267,195.8987914599016,4704935
2021-05-12,202.71432495117188,212.64557147458535,201.54594562902014,204.85635618457493,2633976
2021-05-14,216.00469970703125,218.82828453249232,203.88272055831828,205.4892552542533,2615215
2021-05-17,232.02127075195312,234.1633021453422,216.88097942983356,217.75726027270855,2980589
2021-05-18,233.1409912109375,237.81452423898025,225.88728607346332,235.33170842501204,1866067
2021-05-19,233.67648315429688,236.4513973344544,230.75552711486816,230.75552711486816,949834
2021-05-20,236.69480895996094,243.99719901602617,229.78187376418563,236.0132406693277,1414672
2021-05-21,238.59344482421875,242.147268968288,236.20800020307968,238.9342141376662,752726
2021-05-24,238.73944091796875,243.12087443143503,235.67244340124188,238.54471351094224,851976
2021-05-25,231.87518310546875,240.73542092025846,227.98057568916528,240.3946368286326,598984
2021-05-26,221.16505432128906,233.3843903602733,220.04536042113855,233.3843903602733,1330730
2021-05-27,227.785888671875,238.54474653810718,221.5058360710995,224.91361816450103,3491394
2021-05-28,236.2080078125,243.02357258203253,230.75555005417309,236.2080078125,1028827
2021-05-31,236.8895263671875,238.252633177279,231.92389539646132,236.0619162531498,395691
2021-06-01,229.05165100097656,239.17762665406826,226.95830497916245,239.03158478529116,478758
2021-06-02,233.18966674804688,233.96859136197935,227.73720930727094,229.7331989877381,313518
2021-06-03,233.43307495117188,235.526420879775,231.77786946614253,235.38037901750073,232915
