Price,Close,High,Low,Open,Volume
Ticker,LTIM.NS,LTIM.NS,LTIM.NS,LTIM.NS,LTIM.NS
Date,,,,,
2021-02-22,3575.015625,3632.7349253794646,3557.393615224151,3601.684343678597,63480
2021-02-23,3538.123046875,3629.0132442816616,3533.8352807209117,3581.7541791544477,90928
2021-02-24,3504.385986328125,3604.511300223214,3487.6591691832987,3569.974048680698,50985
2021-02-25,3445.72412109375,3546.8389485083835,3430.175249769247,3514.9872751756293,251215
2021-02-26,3392.34033203125,3438.2330231285446,3364.2109134589887,3416.0404933582167,240333
2021-03-01,3400.067138671875,3482.1933606165203,3383.0575692253915,3383.0575692253915,190862
2021-03-02,3611.86181640625,3669.5339527002384,3417.9249220451375,3430.6938907753765,394399
2021-03-03,3685.6953125,3738.3259833446423,3629.012695200458,3645.032746049175,232927
2021-03-04,3698.46435546875,3783.559143871157,3591.459791202083,3656.6238432645955,251366
2021-03-05,3623.5,3694.035437042937,3599.7998391591887,3684.611877254562,132490
2021-03-08,3643.33642578125,3727.017677809769,3624.300882138147,3646.917424304376,162750
2021-03-09,3671.889892578125,3694.0352570014757,3637.3526396639736,3664.8222230813108,100893
2021-03-10,3890.94091796875,3910.7773273463267,3709.160310905406,3727.0179107601743,1096653
2021-03-12,3784.548828125,3934.289333311635,3769.423968438166,3927.7397751125686,354537
2021-03-15,3851.739013671875,3882.506846043785,3738.326373363033,3814.657211841078,311584
2021-03-16,3878.68994140625,3956.010058762916,3838.215571543915,3882.5062987382594,361187
2021-03-17,3814.940185546875,3947.294051693428,3788.2714623235047,3878.6907127480595,319928
2021-03-18,3776.4443359375,3897.584240289768,3722.30603219163,3835.3887470936543,327009
2021-03-19,3840.195068359375,3859.089122305875,3684.6119990821735,3741.1533596819,279744
2021-03-22,3857.157470703125,3950.3094541771825,3840.1950625488726,3854.2360750496055,251199
2021-03-23,3801.935546875,3897.679015172253,3788.742561955865,3882.5069904882885,198149
2021-03-24,3743.22607421875,3830.6767480851877,3723.9077781951964,3797.694291459608,129661
2021-03-25,3616.4794921875,3760.612793066132,3566.6761167709287,3760.612793066132,269938
2021-03-26,3719.71484375,3745.8652236129583,3636.9287743911195,3642.48881301503,138918
2021-03-30,3923.0283203125,3999.35916200006,3693.093439179603,3764.712500516079,354158
2021-03-31,3820.59375,3934.336066434094,3790.862373951557,3934.336066434094,229616
2021-04-01,3875.721435546875,3947.5291442588127,3837.556248965292,3846.697055828234,213617
