Price,Close,High,Low,Open,Volume
Ticker,MPHASIS.NS,MPHASIS.NS,MPHASIS.NS,MPHASIS.NS,MPHASIS.NS
Date,,,,,
2021-02-22,1521.788818359375,1565.2634269446385,1469.3149061142283,1504.3721723495382,538833
2021-02-23,1562.5767822265625,1600.902491439738,1531.2805173319355,1535.7129980049024,711692
2021-02-24,1517.2220458984375,1566.7410085863416,1454.450345890506,1566.7410085863416,227168
2021-02-25,1479.030517578125,1522.236441524852,1452.480228962748,1517.7591437065382,870245
2021-02-26,1474.7325439453125,1492.2835315150646,1442.1377902820352,1450.6446570983526,230398
2021-03-01,1467.927001953125,1490.9402705131063,1455.1667023406253,1486.3734483030714,121376
2021-03-02,1511.58056640625,1535.7131580229998,1449.1222615828656,1468.5536904709736,568161
2021-03-03,1518.699462890625,1565.0394966197464,1488.1194960655432,1531.1910804331233,512298
2021-03-04,1510.908935546875,1536.60858079104,1498.1038203166725,1508.8493348676586,154947
2021-03-05,1463.807861328125,1499.8949293213839,1452.7042490000827,1493.6715284128904,401535
2021-03-08,1443.52587890625,1485.9258745971824,1432.7355456047949,1477.5085314049447,205579
2021-03-09,1426.377685546875,1457.7187730156284,1410.5728010043958,1457.7187730156284,319538
2021-03-10,1474.5533447265625,1499.8948962494976,1430.9445040039982,1442.5406626125807,599154
2021-03-12,1448.0477294921875,1491.835726767519,1437.7052364676658,1477.77705445857,342389
2021-03-15,1458.211181640625,1473.2101303494285,1446.1224767111416,1450.6445915380073,342891
2021-03-16,1549.861572265625,1557.2042975124543,1459.5991977833817,1464.21083674248,1034130
2021-03-17,1507.77490234375,1584.0680157376307,1491.1192665117194,1546.4587129332324,971091
2021-03-18,1466.5389404296875,1550.1300711180943,1443.8390617328662,1529.4449764945239,439447
2021-03-19,1492.1044921875,1509.6554798617249,1453.5549096615246,1464.0765607864425,473541
2021-03-22,1495.46240234375,1505.0437766838072,1461.3901196180118,1505.0437766838072,285987
2021-03-23,1501.2828369140625,1528.952451121773,1493.6266136063161,1502.1334798109083,263310
2021-03-24,1497.611328125,1509.700032433025,1478.3589471899975,1501.2827998435507,326973
2021-03-25,1498.1934814453125,1506.1630939947256,1434.5263237690551,1500.9693844297499,401831
2021-03-26,1464.30029296875,1506.1630287561152,1456.330680764536,1506.1630287561152,369659
2021-03-30,1592.88818359375,1610.7078503320572,1465.8672694891327,1471.2400267383293,845091
2021-03-31,1590.7841796875,1621.9014047053106,1532.3554334310354,1593.9182886820997,1134437
2021-04-01,1565.084228515625,1619.8863086673273,1556.3086812956412,1598.3952796966164,423748
2021-04-05,1571.6212158203125,1592.5301768653917,1534.0567270838035,1567.054393449781,473624
2021-04-06,1562.66650390625,1586.2618421693583,1554.159637827059,1584.9634694914103,305235
2021-04-07,1551.3389892578125,1569.3378152330954,1535.6237383672471,1566.9648253563955,1085872
2021-04-08,1576.322265625,1634.2137499153132,1562.666506892831,1562.666506892831,1021233
2021-04-09,1614.0211181640625,1634.2137759410848,1585.0083144658147,1592.1271745880815,633856
2021-04-12,1558.189208984375,1645.362178113245,1536.653471453967,1611.64821203403,625677
2021-04-13,1506.386962890625,1574.531418886435,1435.4217871979029,1562.577054685178,744747
2021-04-15,1522.236572265625,1555.1447140566215,1469.4492701775603,1480.1947858644162,663225
2021-04-16,1529.7137451171875,1547.1303913731456,1496.6264458687708,1522.2365696838679,436542
2021-04-19,1525.10205078125,1541.4888959959503,1472.2251172900333,1496.3130025684113,399442
2021-04-20,1484.358642578125,1549.0555993221626,1472.2251211537264,1531.2359312429667,411238
2021-04-22,1471.0162353515625,1511.4909649275332,1459.5991256265693,1477.5083173520488,553502
2021-04-23,1519.1470947265625,1535.6682793540901,1471.329533897237,1471.329533897237,606412
2021-04-26,1544.0408935546875,1617.0655518013934,1535.8474170875622,1549.1449690934091,1273633
2021-04-27,1526.89306640625,1560.965241001992,1518.4757237112497,1544.6679188570872,312043
2021-04-28,1566.0693359375,1575.1134561490903,1529.3106751729993,1537.5041524775374,389821
2021-04-29,1584.963623046875,1590.291564383783,1565.0396452995344,1576.8149618749396,566928
2021-04-30,1580.3070068359375,1598.350428742024,1571.800141384007,1584.9633526228586,457673
2021-05-03,1599.1116943359375,1604.2157700033508,1567.0541989985286,1579.5906325905169,293527
2021-05-04,1571.48681640625,1608.4693424361199,1565.7111455808242,1602.8727198110812,238613
2021-05-05,1564.5023193359375,1592.9331626778392,1554.5179225682339,1564.3679785292077,207032
2021-05-06,1653.0184326171875,1674.0617333574387,1555.4133355666602,1567.054310444246,1687587
2021-05-07,1653.197509765625,1686.5533806720673,1635.6018156474415,1658.3912192948062,632380
2021-05-10,1651.1827392578125,1669.7635265605402,1638.6911211562199,1652.1230155919268,408510
2021-05-11,1655.43603515625,1673.5243837477647,1628.0798113438304,1643.1682829796857,338923
2021-05-12,1611.2452392578125,1663.7639676328968,1589.485636159983,1655.0780530755426,676426
2021-05-14,1601.8428955078125,1615.6329953121478,1577.4864379303367,1590.5153096217857,772439
2021-05-17,1578.157958984375,1613.6181358913243,1547.3541280911256,1601.84282075151,664940
2021-05-18,1580.62060546875,1602.8727556618003,1562.6665959624424,1598.3954574616275,492208
2021-05-19,1583.0830078125,1611.6481901764992,1570.8599627264011,1582.2770723315098,357231
2021-05-20,1579.904052734375,1605.335126098735,1574.844684358857,1596.5595786876224,141546
2021-05-21,1599.335693359375,1647.4666477939777,1565.3082278986326,1600.1415195677957,799241
2021-05-24,1638.646240234375,1651.8095618509333,1611.9167932166242,1622.1250544495178,581346
2021-05-25,1683.8223876953125,1713.6859458699578,1637.5718738130295,1638.691198402102,1057299
2021-05-26,1713.954345703125,1727.789151625859,1685.478689115197,1689.6425977637655,786050
2021-05-27,1762.9359130859375,1799.8288012323683,1716.1033369156519,1719.1927378154255,1107586
2021-05-28,1733.6993408203125,1786.441934068916,1720.1779224793922,1772.1145802117217,827508
2021-05-31,1741.086669921875,1759.5779305963072,1732.9828269719717,1746.862449325276,269385
2021-06-01,1746.1463623046875,1754.0264511504997,1706.0745419389773,1746.1463623046875,230031
2021-06-02,1708.1788330078125,1750.623642938828,1704.2836053316237,1746.1463446192913,490512
2021-06-03,1719.0137939453125,1727.20727135469,1678.9867925348951,1721.073394801103,385166
2021-06-04,1709.8353271484375,1745.1164580271652,1703.1641967051467,1725.5506871981165,325694
2021-06-07,1759.488525390625,1767.63718559005,1713.9096115599573,1718.3869093957983,521073
2021-06-08,1730.4755859375,1776.323071321263,1716.0138922967085,1766.741697829075,531921
2021-06-09,1717.7154541015625,1763.8764422583515,1711.2233717128038,1746.1462976661264,452593
2021-06-10,1758.86181640625,1765.8464454618145,1714.7604282526017,1726.3118797018628,456342
2021-06-11,1799.6500244140625,1852.7060084650802,1759.8020701478972,1773.0100999327497,1889149
2021-06-14,1786.218017578125,1824.05118526464,1768.0849608763042,1807.037453050586,557037
2021-06-15,1845.945068359375,1854.541567592475,1781.9645264474727,1785.5463646915882,842577
2021-06-16,1879.3458251953125,1889.4197456400761,1818.6784376279595,1835.692169934671,1039899
2021-06-17,1826.334716796875,1910.5079213120312,1808.3807076421024,1879.1220178197334,851840
2021-06-18,1820.3350830078125,1880.3755854827532,1785.1882926070784,1844.1094705469636,1089882
2021-06-21,1833.2296142578125,1842.8109879832462,1767.6372004127106,1817.7829365946316,434930
2021-06-22,1798.8887939453125,1867.033246948136,1792.7101009065555,1840.1694592222634,412384
2021-06-23,1777.7559814453125,1825.6182531759,1773.0100018581397,1820.1559714966286,252588
2021-06-24,1834.886474609375,1856.5565546324397,1781.8303805073244,1781.8303805073244,1025993
2021-06-25,1851.049072265625,1869.3165777722024,1830.319271679875,1840.61705623189,526840
2021-06-28,1835.15478515625,1862.5559358911037,1826.8270766052326,1851.0940094850844,175489
2021-06-29,1868.0628662109375,1875.0923111761792,1818.3201534363557,1840.1245717737572,480765
2021-06-30,1911.08984375,1920.134073200546,1859.018955207821,1875.9878709854843,653567
2021-07-01,1944.7591552734375,1955.683718401703,1889.4197096280188,1913.55230153212,533962
2021-07-02,1929.6705322265625,1969.4736658857141,1890.4047617498336,1935.088106280111,666544
2021-07-05,1893.1806640625,1974.3988069797906,1884.04701976255,1950.4452624081898,768600
2021-07-06,1904.552734375,1917.9400288736672,1890.7179287417262,1902.6724005846963,315862
2021-07-07,1946.4605712890625,1956.9374053294666,1884.9873545910013,1915.2539340773383,477903
2021-07-08,1948.878173828125,1983.4430016196025,1934.1927239270162,1946.7291582487655,460524
2021-07-09,1996.248046875,2031.797747791011,1949.415468021609,1949.415468021609,1374846
2021-07-12,1983.5328369140625,2021.1421437072577,1977.1749856994065,2021.1421437072577,273006
2021-07-13,1961.9073486328125,2006.7251494880118,1938.759846999441,1995.0841736096786,405618
2021-07-14,2127.1640625,2147.0432198656354,1970.1451502330076,1970.906378262471,2140671
2021-07-15,2139.2529296875,2155.6847003744756,2088.122100387971,2127.1642253966747,885491
2021-07-16,2140.327392578125,2168.758233554855,2101.106220200001,2139.2528848317497,432057
2021-07-19,2097.883056640625,2155.5953913455965,2087.271771607991,2140.3277595349728,503783
2021-07-20,2120.89599609375,2152.0580329201957,2029.827801353045,2099.8975128558254,733341
2021-07-22,2146.77490234375,2193.8761679268823,2116.195042389063,2153.714714711682,1055208
2021-07-23,2265.64697265625,2397.145299645081,2213.620902142597,2296.853826518354,6346868
2021-07-26,2318.47900390625,2359.2672300878685,2215.322107582386,2249.3943871463302,1525148
2021-07-27,2325.150634765625,2343.3731076300264,2295.107919524435,2328.1951101547493,517705
2021-07-28,2317.1806640625,2353.670641201382,2277.4671636723674,2323.717562586451,547211
2021-07-29,2390.51904296875,2397.5930863833078,2295.06296186757,2320.135830744781,868934
2021-07-30,2327.97119140625,2389.9369545661093,2312.65874416556,2389.086311634532,584986
2021-08-02,2352.193603515625,2368.356694960519,2329.9861590447695,2345.6567039268925,321213
2021-08-03,2410.80126953125,2449.0821699946027,2360.834576781784,2360.834576781784,1158111
2021-08-04,2385.280517578125,2453.5593123093618,2375.027548847015,2428.0387136229324,751794
2021-08-05,2386.578857421875,2468.379178479952,2366.251968436497,2406.905746407253,976311
2021-08-06,2412.9501953125,2431.0832527507146,2380.1316874456274,2390.8772029645693,375995
2021-08-09,2419.53173828125,2456.2455803499142,2386.3997344631866,2429.605658361066,387255
2021-08-10,2425.44189453125,2470.4833363008815,2400.7271227912106,2419.53177388357,590969
2021-08-11,2393.563720703125,2456.245898200027,2362.2226319546744,2442.769186314576,507503
2021-08-12,2475.453369140625,2480.423213888457,2398.891569578364,2398.9363862841797,652280
2021-08-13,2465.96142578125,2499.809622653248,2455.618824017891,2489.6911044005833,502027
2021-08-16,2459.3349609375,2515.7040987185264,2449.037175595112,2478.7217923398794,444615
2021-08-17,2544.4931640625,2556.537051456961,2443.5300983701104,2473.0802639386147,794585
2021-08-18,2546.910888671875,2631.576634961691,2510.420911098392,2552.0597812129186,959572
2021-08-20,2550.26904296875,2605.7875403929293,2483.199203689028,2546.642387719846,664079
2021-08-23,2567.193115234375,2687.2743385704052,2547.806501771891,2595.937456686306,1956870
2021-08-24,2506.436279296875,2619.1745573874805,2489.3777299060985,2601.5340466941343,969258
2021-08-25,2500.257568359375,2541.807027191496,2459.8276527051726,2520.3608123485706,756084
2021-08-26,2456.469482421875,2528.7778432003556,2450.06703389924,2503.6601583642187,650414
2021-08-27,2592.176513671875,2605.7874559725856,2453.783187707518,2471.468514943071,1188351
2021-08-30,2565.53662109375,2629.8752634465964,2554.746288978202,2605.7874871807107,688575
2021-08-31,2595.131591796875,2618.0552267180765,2570.1929541284203,2580.624971172298,991789
2021-09-01,2538.135498046875,2623.6967091984457,2521.7039450491893,2614.921161123246,721085
