Price,Close,High,Low,Open,Volume
Ticker,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS
Date,,,,,
2021-02-22,26021.865234375,26974.68615531413,25788.768271380555,26946.453753819114,25753
2021-02-23,27468.642578125,27666.509546920337,26038.466238565983,26038.466238565983,60003
2021-02-24,27355.712890625,27746.43326056518,26558.71781939596,27495.033147353577,24911
2021-02-25,27230.392578125,27645.371809525088,27050.640289523744,27523.40885183502,42564
2021-02-26,26562.49609375,27201.775296942866,26104.67050846392,26956.855585569934,73058
2021-03-01,26576.826171875,27078.86895200389,26413.76802669188,26954.020516737924,26717
2021-03-02,27866.97265625,27911.189807164432,26672.163760150357,26672.163760150357,48268
2021-03-03,27376.232421875,27992.529256893587,27252.045337113763,27789.36608776451,36650
2021-03-04,27579.115234375,28515.005619774718,27187.0722179544,27277.492384970097,72522
2021-03-05,26641.615234375,27851.60540497475,26489.62245991537,27504.488918282535,47917
2021-03-08,26047.830078125,26955.91293711702,25896.59284976365,26814.039711132194,38023
2021-03-09,26238.744140625,26861.33115588418,26010.091788268135,26274.921813748682,43287
2021-03-10,26793.513671875,26861.328328767955,26249.948993400983,26481.108117917083,36130
2021-03-12,26633.57421875,27211.282690284243,26510.144521458304,27145.075189821266,32302
2021-03-15,26305.943359375,26856.599864369444,26120.041415896907,26856.599864369444,28570
2021-03-16,27041.4140625,27145.07572437618,26346.423719316655,26576.58900064006,34198
2021-03-17,27139.404296875,27381.534620287563,26719.50754720824,27145.079226329985,36200
2021-03-18,26665.361328125,27428.827824368393,26541.695147503062,27192.372412089357,20900
2021-03-19,26798.94921875,27239.653922366215,26237.1313566012,26669.32366836667,51263
2021-03-22,28111.044921875,28328.299378681088,26528.306874863985,26861.33025122844,55943
2021-03-23,29116.1171875,29225.880497027483,27926.510352705947,28119.269487916732,57958
2021-03-24,28166.140625,29074.459972914778,28043.75094806879,29027.263108532556,46446
2021-03-25,27605.6875,28363.29039469627,27216.24556255782,28081.43563487169,43051
2021-03-26,28411.484375,28544.893238218974,27712.570307482307,27712.570307482307,36962
2021-03-30,29305.708984375,29490.190340241552,28611.09737807199,28654.60516251468,56267
2021-03-31,28674.89453125,29273.174644036855,28497.601034727963,29273.174644036855,33389
2021-04-01,28561.541015625,29083.634521220403,28365.18882754741,28940.24834095684,33538
2021-04-05,28071.18359375,28734.062341875757,27722.978976389742,28734.062341875757,27164
2021-04-06,27923.958984375,28268.71089555778,27758.346021468584,28268.71089555778,22797
2021-04-07,28215.373046875,28352.186519377425,27723.972512087494,27854.44787108678,27083
2021-04-08,28181.65234375,28563.81229988399,28043.61042025034,28371.810515219207,33157
2021-04-09,27902.822265625,28204.8699916628,27807.15205160498,28204.8699916628,22594
2021-04-12,26668.001953125,27616.61465088647,26532.749490608512,27544.21128255344,28586
2021-04-13,27675.443359375,27891.657760620117,26771.474561899795,26798.903382330638,30451
2021-04-15,28226.953125,28374.64351395162,27171.03768823931,27617.040532129115,26397
2021-04-16,28580.642578125,28752.9704979099,27759.952242732772,28147.64480321706,26060
2021-04-19,28279.3046875,28469.226378476116,27591.740505631224,27713.563050452845,20892
2021-04-20,28609.966796875,28942.138576516398,28152.3776055559,28563.809967673045,24174
2021-04-22,28260.626953125,28537.27975630324,28053.067153048207,28374.646479819494,18136
2021-04-23,27549.32421875,28228.991245557885,27476.117258039823,28058.7433589332,38733
2021-04-26,28642.029296875,28778.323659046484,27664.286276949224,27664.334306949448,72653
2021-04-27,28560.16796875,29150.218336114736,28147.647556222404,28547.445561318695,36154
2021-04-28,28407.0859375,29318.47911799134,28281.00719919061,28657.349923909733,35823
2021-04-29,28271.26953125,28805.518350647577,28138.28738106545,28699.30184389898,28988
2021-04-30,28053.630859375,28350.99748772358,27872.93278277102,27923.061318779335,19104
2021-05-03,28082.150390625,28327.354620520488,27702.403049051078,27747.18732871414,20846
2021-05-04,27815.47265625,28249.793096852783,27658.27603384732,28249.793096852783,25145
2021-05-05,28031.59765625,28184.536261380923,27674.738447867574,28184.536261380923,27903
2021-05-06,27946.189453125,28163.728410522326,27817.55772179441,28081.441935332903,13088
2021-05-07,28024.548828125,28172.19119494946,27854.443200654852,27946.18788623935,16892
2021-05-10,27549.83984375,28268.097040021566,27387.395005713883,28024.690253334054,29383
2021-05-11,27324.546875,27785.113918795083,27053.332557935773,27549.840818987843,22994
2021-05-12,26672.923828125,27543.97740393772,26582.974725183754,27381.769015884965,17605
2021-05-14,26514.876953125,26861.33212719569,26294.785016484766,26861.33212719569,23147
2021-05-17,26644.16796875,26955.862307797783,26426.95971125083,26765.800233303948,22214
2021-05-18,27355.6640625,27763.643789398677,26738.373302660646,26880.246524995244,32810
2021-05-19,28436.970703125,28717.87964611683,27334.237213683147,27334.237213683147,70419
2021-05-20,28029.185546875,28592.137801903264,27860.92352145924,28138.712422726134,30746
2021-05-21,27693.4140625,28398.051003613313,27523.40266630521,28212.90646505904,35223
2021-05-24,28883.07421875,29084.013272337732,27680.838943490187,27899.844666907917,63233
2021-05-25,29807.419921875,30075.229627427,28887.51437474943,28887.51437474943,98916
2021-05-26,30111.26953125,30228.45719251859,29556.971911922647,29793.37927297671,54258
2021-05-27,30043.4921875,30701.358921425894,29184.40382242988,29992.938778722626,137199
2021-05-28,29663.138671875,30409.2496003224,29442.808442811096,30058.255607542687,59209
2021-05-31,29004.08984375,29817.023440811947,28810.66934276202,29651.504674685315,43081
