Price,Close,High,Low,Open,Volume
Ticker,WESTLIFE.NS,WESTLIFE.NS,WESTLIFE.NS,WESTLIFE.NS,WESTLIFE.NS
Date,,,,,
2021-02-22,452.15020751953125,453.8421751463171,444.0885616016498,446.07909745755467,148606
2021-02-23,484.34710693359375,496.38985433649054,451.40373408495,452.846884657851,698308
2021-02-24,482.9040222167969,520.0275046584591,468.7712051562378,486.68602828322776,829151
2021-02-25,492.8566589355469,499.6244682688066,484.745201536635,485.69071815772435,116623
2021-02-26,499.2264099121094,504.10321679362346,470.91102457867936,479.1717667895237,192103
2021-03-01,515.8970947265625,525.2028860945597,509.22881798090845,512.5629715403185,453583
2021-03-02,513.6079711914062,532.4683094414487,507.5866127385773,521.3212971692964,268205
2021-03-03,508.5321350097656,522.1175051126002,502.61027897945445,516.2454610733117,168516
2021-03-04,513.5582275390625,520.1767832583986,504.60081659361373,506.09371841785514,165551
2021-03-05,498.131591796875,515.8970997931955,489.62206326709406,513.5084932433678,161411
2021-03-08,513.8070678710938,517.4398201071177,495.69317943077834,497.13633007576044,138419
2021-03-09,518.43505859375,524.5061683117294,508.4823495049924,515.5487574676961,219817
2021-03-10,521.8189697265625,524.3568908288374,516.4445592887452,518.5345976679517,108068
2021-03-12,513.9563598632812,528.8853781310412,505.5960853348033,524.3568606594226,227801
2021-03-15,521.1720581054688,524.6056837500419,506.5913591286747,509.2785945974841,186589
2021-03-16,514.4539794921875,531.920918230228,508.7809405590102,520.4753378767224,345672
2021-03-17,505.0984802246094,519.5298653738839,504.25249639984605,518.5345974325546,75272
2021-03-18,502.46099853515625,511.66719611140115,493.1552377224705,493.1552377224705,166383
2021-03-19,467.527099609375,500.4704734265741,448.86582634130525,500.4704734265741,2199394
2021-03-22,463.4465026855469,465.7356371343978,447.97009861829724,456.82797706630026,330440
2021-03-23,458.17156982421875,463.44647738359356,451.05541063153436,462.94884344881615,311734
2021-03-24,456.8777160644531,457.92276558042187,452.05069106152285,457.67394860611967,58968
2021-03-25,449.3634338378906,461.9038148103251,436.42495180047626,459.3161123282094,576399
2021-03-26,457.3753356933594,457.922751243585,443.14301735813063,457.3255844493229,118745
2021-03-30,457.8232421875,457.8232421875,445.03404336915065,452.84690259850544,329976
2021-03-31,457.524658203125,460.6099643435028,438.96288787695624,457.6241606929446,315774
2021-04-01,453.8421630859375,462.7995741994757,444.18805229207993,457.5246664707696,575508
2021-04-05,437.61932373046875,453.29479372683886,436.12642182605254,451.8516430699697,191666
2021-04-06,420.3016357421875,434.8325536312069,415.67364593073216,429.0102301514942,515897
2021-04-07,417.8134460449219,424.97938696740897,410.05036868986537,420.9983154267307,344933
2021-04-08,418.16180419921875,430.80171874162556,415.1262492383216,416.02198427816285,197533
2021-04-09,423.0884094238281,430.8017359962964,418.8087390371389,420.99834066504195,205515
2021-04-12,401.9886779785156,421.6949996048711,398.10713944357366,421.6949996048711,254954
2021-04-13,402.1379699707031,414.37978297266324,394.1260757814819,402.78491838352284,168795
2021-04-15,405.07403564453125,412.9864276055274,383.2776746906258,398.1071603386057,672196
2021-04-16,409.6025085449219,415.6238978056338,405.07405156733034,414.03146302705017,194685
2021-04-19,398.4057312011719,403.0835025154322,390.7421865377411,400.6948656121962,615021
2021-04-20,419.6546936035156,423.984114936301,403.9792245653777,408.05982892930376,211112
2021-04-22,416.0717468261719,419.8040015711974,412.33949208114643,417.0172635108451,147169
2021-04-23,409.3039245605469,419.70448628223323,405.12378722427917,417.8134529705332,47056
2021-04-26,419.853759765625,423.98411537836336,407.0645614782878,410.14989796999345,203776
2021-04-27,436.8728332519531,442.8941915723793,420.1025639683437,424.9793703402382,168653
2021-04-28,437.519775390625,442.89421598183884,428.0647303303386,442.89421598183884,440494
2021-04-29,433.4391784667969,437.9178840996341,427.96520491555145,437.51978300690405,219928
2021-04-30,435.08135986328125,436.6737945905524,429.45810225828683,429.9557362122362,42033
2021-05-03,429.1595153808594,436.07660881618955,427.96518179402875,431.4486193202592,26143
2021-05-04,431.7472229003906,434.832559608159,423.3372269791328,428.96048480037433,127433
2021-05-05,429.906005859375,431.8467601501977,425.6263354235206,429.9557571079214,46566
2021-05-06,429.01019287109375,434.48416602412004,423.98410239803536,423.98410239803536,42146
2021-05-07,424.33245849609375,436.9225908596723,422.9888408094778,436.9225908596723,67653
2021-05-10,419.7542419433594,426.9699343063454,416.5196212289174,426.9699343063454,115692
2021-05-11,424.2329406738281,426.9699273878528,417.0669996732971,420.9983200117989,44681
2021-05-12,417.6641540527344,431.64768579930575,416.9177031529476,425.92489556760705,102944
2021-05-14,425.67608642578125,428.9604582959504,416.0219757951445,421.9935831032088,343462
2021-05-17,441.84918212890625,446.87527271282465,426.3727485582714,429.90596771341876,823287
2021-05-18,460.1123352050781,469.41809608776475,444.88474857752965,448.3184349607836,780360
2021-05-19,462.7000427246094,469.5176339450262,456.5791511866047,460.70950691562143,212238
2021-05-20,470.0650329589844,474.7428043968575,459.813785390667,459.813785390667,121150
2021-05-21,479.3707580566406,482.55562735366954,464.7900900016708,469.7664292950506,159568
2021-05-24,477.7783508300781,486.7357620722698,470.66219130674807,482.7049391625501,101464
2021-05-25,476.2357177734375,506.59139048417904,464.79013625955133,473.00109691081747,289324
2021-05-26,469.0199890136719,481.9584714692214,466.0341853700835,479.5698346289838,69350
2021-05-27,484.39691162109375,502.0629173034955,467.77592511148293,472.6527318731182,275251
2021-05-28,477.3802185058594,490.56751752741997,473.0010460374835,484.9940114889577,76571
2021-05-31,479.81866455078125,484.94428820266154,471.75698842085495,478.1266969578113,60232
2021-06-01,487.1338806152344,491.66233736273017,478.4252865829998,478.72385480055306,74605
2021-06-02,489.0248718261719,491.61257435130653,480.16699389716445,481.70964693954375,47962
2021-06-03,480.6148681640625,491.9111650289405,479.221499163247,491.6623480511818,49865
2021-06-04,482.30682373046875,485.6907284689389,476.7830687381215,485.6907284689389,45048
2021-06-07,496.9870300292969,501.61501967187445,483.3518477024419,486.68600122925915,102941
2021-06-08,518.6838989257812,522.0180221471585,487.6812790316638,500.321193719098,253772
2021-06-09,500.6197509765625,525.1531288766304,498.0320483760068,520.5251088682747,195175
2021-06-10,495.4443664550781,503.9041439121632,489.67182457480453,503.60557568059164,279896
2021-06-11,482.3565673828125,497.833000993616,469.7664348951084,497.6339352702419,952739
2021-06-14,478.47503662109375,487.183630631358,469.7664426108294,487.183630631358,48239
2021-06-15,483.5509033203125,495.9917517623646,472.7522407979783,472.7522407979783,360241
2021-06-16,482.15753173828125,488.47745841382346,474.59348985215786,485.09355373068445,64296
2021-06-17,492.75714111328125,495.44434620710416,475.3399529428584,477.72858981731184,101797
2021-06-18,497.6836853027344,506.49181201020446,471.80672073168745,492.9064116850378,213516
2021-06-21,498.9775695800781,514.0558722460602,479.52006383941085,492.6576123171342,288238
2021-06-22,488.47747802734375,501.91359481093025,486.6860079387987,499.6244907674375,56013
2021-06-23,485.1930847167969,492.60784246840154,482.70491505158253,492.60784246840154,37158
2021-06-24,485.09356689453125,491.76187395330396,483.0034982363215,489.0746384822962,73297
2021-06-25,482.9537658691406,487.88035430084375,480.71441301348773,485.09358585657554,153059
2021-06-28,487.1338806152344,492.20972255263297,480.16700538944673,482.704926358146,33583
2021-06-29,503.406494140625,507.5866314904006,487.33292355139554,492.50832880605424,90684
2021-06-30,497.2358703613281,507.5866508931431,490.46803012551925,507.4871180242169,63574
2021-07-01,497.33538818359375,506.59136762351926,493.35431653232837,501.6150280594375,36247
2021-07-02,493.4040832519531,499.62450790212904,491.06519750885354,498.57948871016634,20176
2021-07-05,510.1742858886719,515.5487566854694,493.60311230015117,500.5202057730939,127087
2021-07-06,501.5154724121094,517.5392911552015,499.2263684658812,513.5582196847769,96911
2021-07-07,514.2052001953125,519.5298593208529,498.9775826464909,507.5866441640517,89622
2021-07-08,541.3760375976562,566.3074887032507,508.03455979175305,515.4493184978558,2432386
2021-07-09,533.8616943359375,551.3783840431079,527.740772813823,543.1176731101392,381063
2021-07-12,548.4921264648438,553.7172830453331,527.9398803627184,538.3901935236973,424913
2021-07-13,534.8071899414062,552.8215756545691,532.4683346391878,552.8215756545691,312821
2021-07-14,543.1177368164062,547.3476256378015,534.8570249144781,538.4399652646551,110223
2021-07-15,533.1152954101562,546.551412576229,530.179242843118,546.551412576229,92486
2021-07-16,529.0844116210938,540.4304904145179,527.9896411876642,540.4304904145179,41408
2021-07-19,519.0819702148438,529.0844006362977,514.304696360184,529.0844006362977,148791
2021-07-20,508.18377685546875,518.1364251109925,503.6055386116391,515.0511190346309,124651
2021-07-22,531.074951171875,541.176945112509,510.7715215409719,517.5393314179396,320639
2021-07-23,523.461181640625,535.0560166151545,518.036959255161,531.4730763539981,112621
2021-07-26,545.6556396484375,547.2978560225201,521.6697069647048,522.5156604020606,397765
2021-07-27,547.1485595703125,551.9755848650772,534.9565270923929,551.9755848650772,251651
2021-07-28,552.871337890625,560.0372791718675,539.0370892956383,547.3973642481436,277634
2021-07-29,561.679443359375,574.2696072270993,547.4471238217312,557.3500520748277,899294
2021-07-30,557.5988159179688,571.1842464410078,553.3689275330488,564.1675594642539,175149
2021-08-02,556.5538330078125,569.1937477409552,553.3689635145771,562.2766235477563,122810
2021-08-03,536.4494018554688,559.9377001613683,533.2147811578244,557.3500279017857,89627
2021-08-04,527.89013671875,543.1674752136748,521.2715806562752,542.0228927905499,63384
2021-08-05,530.1294555664062,536.3000677669783,516.1458933876027,524.6056702875875,47958
2021-08-06,532.6674194335938,543.8641838804336,524.9043415663851,536.7479937334637,54656
2021-08-09,517.0914306640625,538.340436997464,512.5629738213154,537.4944228258819,55779
2021-08-10,498.9775695800781,524.5061852346055,493.6528802208052,517.5393099089086,124548
2021-08-11,497.7832336425781,507.3875627939193,479.7191273491869,499.02731851640897,101695
2021-08-12,520.2762451171875,524.506133288872,502.610241576623,502.610241576623,126147
2021-08-13,509.4776306152344,524.5061819409264,502.6102881976618,524.5061819409264,244388
2021-08-16,520.5748291015625,527.4422014636262,506.491795306777,506.54157692244013,200507
2021-08-17,537.79296875,541.3759695264271,507.5866132224508,513.6079716810198,161505
2021-08-18,538.1911010742188,544.4612765102835,532.7171277854379,541.4257216539528,100180
2021-08-20,536.1508178710938,541.176908504258,527.7407921551868,536.4493860851404,90875
2021-08-23,505.7453918457031,538.2408836400041,492.956192888503,534.458877660574,130307
2021-08-24,510.6221923828125,514.1056300903698,502.56054655814154,503.9041339468091,121170
2021-08-25,510.2240905761719,515.7975662701396,506.8401555679085,513.7075280714839,41611
2021-08-26,525.1531372070312,527.4919924978757,507.03924908896977,511.51795468564984,71659
2021-08-27,531.7716674804688,535.1556028977402,513.9564071560972,526.496759356411,85032
