,0
2025-05-23,99900.0374937504
2025-05-26,100921.32391078117
2025-05-27,101041.10390206779
2025-05-28,101464.14781733371
2025-05-29,101892.04633976826
2025-05-30,101975.0617489194
2025-06-02,102331.87054035033
2025-06-03,100760.78743530178
2025-06-04,101083.60679252955
2025-06-05,101404.10866772215
2025-06-06,102521.28919827026
2025-06-09,104232.09372082894
2025-06-10,105256.82159344485
2025-06-11,104567.21343352714
2025-06-12,106046.45610082021
2025-06-13,103797.31049059684
2025-06-16,104280.26958344506
2025-06-17,102919.43960113497
2025-06-18,101301.38234751254
2025-06-19,98829.80246006943
2025-06-20,99968.72377122348
2025-06-23,100213.89966248994
2025-06-24,101758.75086195112
2025-06-25,102510.88535795988
2025-06-26,103037.94006862232
2025-06-27,102900.65977484234
2025-06-30,104706.45260916007
2025-07-01,104965.47651385421
2025-07-02,104678.74048855246
2025-07-03,103398.26004200596
2025-07-04,102840.37628386253
2025-07-07,101480.97093271458
2025-07-08,100667.85990941212
2025-07-09,100917.62157863702
2025-07-10,100290.29260669058
2025-07-11,98489.23581388728
2025-07-14,98381.50674315671
2025-07-15,99105.55575729662
2025-07-16,99012.64583564451
2025-07-17,98757.1066304509
2025-07-18,97940.39349580789
2025-07-21,97967.47969576594
2025-07-22,98170.04931391048
2025-07-23,99195.27960315916
2025-07-24,98377.91722203362
2025-07-25,97040.02804275944
2025-07-28,96794.88547425927
2025-07-29,96789.50923430453
2025-07-30,96551.45706975141
2025-07-31,95826.7356367253
2025-08-01,95247.56876421037
2025-08-04,95715.53501512013
2025-08-05,96048.69719678619
2025-08-06,96013.78513532234
2025-08-07,96101.80847155009
2025-08-08,95746.80339825526
2025-08-11,95973.95173198135
2025-08-12,95805.43993126339
2025-08-13,95835.41234555091
2025-08-14,95835.41234555091
2025-08-18,95835.41234555091
2025-08-19,95835.41234555091
2025-08-20,95835.41234555091
2025-08-21,95835.41234555091
2025-08-22,95835.41234555091
2025-08-25,95835.41234555091
2025-08-26,95835.41234555091
2025-08-28,95835.41234555091
2025-08-29,95835.41234555091
2025-09-01,95835.41234555091
2025-09-02,95787.50062909142
2025-09-03,96087.27077777052
2025-09-04,95974.27124786036
2025-09-05,95766.19482435998
2025-09-08,96105.21839587664
2025-09-09,96206.67791999264
2025-09-10,97434.10993591778
2025-09-11,96579.496400339
2025-09-12,96554.8365844118
2025-09-15,96176.09416881306
2025-09-16,96820.03486612973
2025-09-17,97736.6548777386
2025-09-18,99021.03099457202
2025-09-19,98463.67040591582
2025-09-22,96316.40525407625
2025-09-23,95594.3441103492
2025-09-24,95143.70992542911
2025-09-25,94448.50187770206
2025-09-26,91278.05458220889
2025-09-29,89496.88285204525
2025-09-30,85350.49343246272
2025-10-01,85350.49343246272
2025-10-03,85350.49343246272
2025-10-06,85350.49343246272
2025-10-07,85350.49343246272
2025-10-08,85350.49343246272
2025-10-09,85350.49343246272
2025-10-10,85350.49343246272
2025-10-13,85350.49343246272
2025-10-14,85350.49343246272
2025-10-15,85350.49343246272
2025-10-16,85350.49343246272
2025-10-17,85350.49343246272
2025-10-20,85350.49343246272
2025-10-21,85350.49343246272
2025-10-23,85350.49343246272
2025-10-24,85350.49343246272
2025-10-27,85265.16427665362
2025-10-28,87232.23132176566
2025-10-29,86178.48905805877
2025-10-30,86803.54557593401
2025-10-31,86665.29320868278
2025-11-03,87887.19172283846
2025-11-04,87239.59814429357
2025-11-06,85843.71213876538
2025-11-07,85675.96462338498
2025-11-10,87479.94730135812
2025-11-11,89263.53050019828
2025-11-12,89755.36586876458
2025-11-13,88691.02091080604
2025-11-14,91066.50440327148
2025-11-17,90925.0527774049
2025-11-18,90444.93945925092
2025-11-19,89998.66325171062
2025-11-20,91457.08315344057
2025-11-21,89825.87403438882
2025-11-24,88151.74237391124
2025-11-25,88122.48897007575
2025-11-26,88122.48897007575
2025-11-27,88122.48897007575
2025-11-28,88122.48897007575
2025-12-01,88122.48897007575
2025-12-02,88122.48897007575
2025-12-03,88122.48897007575
2025-12-04,88122.48897007575
2025-12-05,88122.48897007575
2025-12-08,88122.48897007575
2025-12-09,88122.48897007575
2025-12-10,88122.48897007575
2025-12-11,88122.48897007575
2025-12-12,88122.48897007575
2025-12-15,88122.48897007575
2025-12-16,88122.48897007575
2025-12-17,88122.48897007575
2025-12-18,88122.48897007575
2025-12-19,88122.48897007575
2025-12-22,88122.48897007575
2025-12-23,88078.4277255907
2025-12-24,86691.01161122555
2025-12-26,86691.01161122555
2025-12-29,86691.01161122555
2025-12-30,86691.01161122555
2025-12-31,86691.01161122555
2026-01-01,86647.66610541994
2026-01-02,86675.70955976105
2026-01-05,86773.02521591393
2026-01-06,86873.13608785857
2026-01-07,90573.94086133278
2026-01-08,88797.88000663424
2026-01-09,88359.70172262286
2026-01-12,88853.22154675897
2026-01-13,89584.80925899696
2026-01-14,87704.71919888195
2026-01-15,87704.71919888195
2026-01-16,88612.10929578262
2026-01-19,88143.68584416102
2026-01-20,85493.46677127559
2026-01-21,84462.35679329373
2026-01-22,85382.40023101403
2026-01-23,84956.58207466427
2026-01-27,84999.77102016854
2026-01-28,84811.40587663354
2026-01-29,84347.31081572449
2026-01-30,84280.07974465044
2026-02-02,85202.27654095474
2026-02-03,85202.27654095474
2026-02-04,85202.27654095474
2026-02-05,85202.27654095474
2026-02-06,85202.27654095474
