Ticker,Kind,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Days_Held,Gross_Ret,Net_Ret,Exit_Reason
LT,fast,2025-05-23,2025-06-03,3566.64,3644.8,7,0.0219,0.0209,TIME_EXIT
POLYCAB,fast,2025-05-23,2025-06-03,5850.76,5838.33,7,-0.0021,-0.0031,TIME_EXIT
SUBROS,fast,2025-06-03,2025-06-12,751.85,858.96,7,0.1424,0.1414,TIME_EXIT
JKLAKSHMI,fast,2025-06-03,2025-06-12,806.88,829.4,7,0.0279,0.0269,TIME_EXIT
UNIONBANK,fast,2025-06-12,2025-06-17,145.57,140.21,3,-0.0368,-0.0378,STOP_LOSS
NHPC,core,2025-05-23,2025-06-18,83.94,80.58,18,-0.04,-0.041,STOP_LOSS
IRFC,fast,2025-06-12,2025-06-18,139.29,134.88,4,-0.0317,-0.0327,STOP_LOSS
IRCON,fast,2025-06-18,2025-06-19,194.72,187.93,1,-0.0349,-0.0359,STOP_LOSS
ADANIPORTS,core,2025-05-23,2025-06-20,1388.64,1349.3,20,-0.0283,-0.0293,TIME_EXIT
PNB,fast,2025-06-17,2025-06-26,102.9,106.25,7,0.0326,0.0316,TIME_EXIT
CANBK,fast,2025-06-20,2025-07-01,107.22,115.42,7,0.0765,0.0755,TIME_EXIT
INDIANB,fast,2025-06-26,2025-07-07,635.95,644.15,7,0.0129,0.0119,TIME_EXIT
PERSISTENT,fast,2025-07-01,2025-07-07,6000.74,5803.98,4,-0.0328,-0.0338,STOP_LOSS
TVSMOTOR,fast,2025-07-07,2025-07-11,2876.9,2754.5,4,-0.0425,-0.0435,STOP_LOSS
HDFCLIFE,fast,2025-07-07,2025-07-11,789.45,759.0,4,-0.0386,-0.0396,STOP_LOSS
BANDHANBNK,core,2025-06-18,2025-07-16,179.11,182.02,20,0.0162,0.0152,TIME_EXIT
IRCON,core,2025-06-20,2025-07-18,194.67,184.36,20,-0.053,-0.054,STOP_LOSS
BEL,fast,2025-07-11,2025-07-18,408.35,393.84,5,-0.0355,-0.0365,STOP_LOSS
TATASTEEL,fast,2025-07-11,2025-07-22,159.84,163.04,7,0.02,0.019,TIME_EXIT
SRF,core,2025-07-18,2025-07-25,3177.06,3031.23,5,-0.0459,-0.0469,STOP_LOSS
KARURVYSYA,fast,2025-07-18,2025-07-28,221.28,214.51,6,-0.0306,-0.0316,STOP_LOSS
WESTLIFE,fast,2025-07-22,2025-07-31,759.36,726.99,7,-0.0426,-0.0436,STOP_LOSS
SBILIFE,core,2025-07-16,2025-08-13,1829.1,1840.3,20,0.0061,0.0051,TIME_EXIT
METROPOLIS,fast,2025-09-02,2025-09-11,2172.0,2120.41,7,-0.0238,-0.0248,TIME_EXIT
ASHOKLEY,fast,2025-09-02,2025-09-11,129.51,132.66,7,0.0243,0.0233,TIME_EXIT
SBIN,fast,2025-09-11,2025-09-22,823.65,855.25,7,0.0384,0.0374,TIME_EXIT
ESCORTS,fast,2025-09-11,2025-09-22,3679.64,3638.45,7,-0.0112,-0.0122,TIME_EXIT
CIPLA,core,2025-09-03,2025-09-25,1578.4,1509.7,16,-0.0435,-0.0445,STOP_LOSS
MPHASIS,core,2025-09-05,2025-09-26,2797.4,2642.4,15,-0.0554,-0.0564,STOP_LOSS
M&M,fast,2025-09-22,2025-09-26,3584.8,3396.5,4,-0.0525,-0.0535,STOP_LOSS
BEML,fast,2025-09-22,2025-09-29,2160.89,2023.94,5,-0.0634,-0.0644,STOP_LOSS
KPITTECH,core,2025-09-25,2025-09-30,1252.85,1095.2,3,-0.1258,-0.1268,STOP_LOSS
INOXGREEN,fast,2025-10-27,2025-11-06,256.41,258.45,7,0.008,0.007,TIME_EXIT
GRSE,core,2025-10-27,2025-11-25,2561.27,2702.6,20,0.0552,0.0542,TIME_EXIT
SOUTHBANK,fast,2025-12-23,2025-12-24,39.36,38.12,1,-0.0315,-0.0325,STOP_LOSS
GRASIM,fast,2026-01-01,2026-01-12,2851.7,2806.7,7,-0.0158,-0.0168,TIME_EXIT
KARURVYSYA,fast,2026-01-13,2026-01-21,264.8,254.75,6,-0.038,-0.039,STOP_LOSS
TATAELXSI,core,2026-01-02,2026-02-02,5337.5,5440.0,20,0.0192,0.0182,TIME_EXIT
